Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"22.300,00","22.351,00","22.300,00","22.316,35",11,712.0,15.889.243,26.615.543
2024-04-11,"22.300,00","22.300,00","22.250,00","22.293,98",-10,408.0,9.095.944,9.095.944
2024-05-11,"22.300,00","22.300,00","22.298,00","22.299,74",3,3.434,76.577.300,76.577.300
2024-06-11,"22.500,00","22.502,00","22.301,00","22.484,06",83,187.0,4.204.519,4.204.519
2024-07-11,"23.000,00","23.000,00","22.990,00","22.997,62",228,130.0,2.989.691,2.989.691
2024-08-11,"23.299,00","23.400,00","23.010,00","23.193,84",85,64.0,1.484.406,1.484.406
2024-10-10,"22.350,00","22.400,00","22.300,00","22.347,50",27,177.0,3.955.508,3.955.508
2024-10-14,"22.300,00","22.350,00","22.300,00","22.301,63",-21,195.0,4.348.818,4.348.818
2024-10-15,"22.101,00","22.300,00","22.100,00","22.240,91",-27,92.0,2.046.164,2.046.164
2024-10-16,"22.295,00","22.295,00","22.100,00","22.140,92",-45,74.0,1.638.428,1.638.428
2024-10-17,"22.250,00","22.296,00","22.160,00","22.246,02",47,317.0,7.051.987,7.051.987
2024-10-18,"22.250,00","22.300,00","22.249,00","22.254,15",4,222.0,4.940.421,4.940.421
2024-10-21,"22.250,00","22.300,00","22.200,00","22.274,43",9,298.0,6.637.780,6.637.780
2024-10-22,"22.250,00","22.500,00","22.200,00","22.288,64",6,78.0,1.738.514,1.738.514
2024-10-24,"22.250,00","22.251,00","22.200,00","22.243,51",-20,359.0,7.985.420,7.985.420
2024-10-25,"22.200,00","22.251,00","22.200,00","22.225,74",-8,339.0,7.534.525,7.534.525
2024-10-28,"22.300,00","22.350,00","22.250,00","22.266,81",18,111.0,2.471.616,2.471.616
2024-10-29,"22.200,00","22.260,00","22.200,00","22.252,00",-7,125.0,2.781.500,2.781.500
2024-10-30,"22.250,00","22.250,00","22.250,00","22.250,00",-1,86.0,1.913.500,1.913.500
2024-10-31,"22.250,00","22.310,00","22.250,00","22.291,33",19,218.0,4.859.510,4.859.510
2024-11-01,"22.300,00","22.351,00","22.300,00","22.316,35",11,712.0,15.889.243,26.615.543
2024-11-04,"22.300,00","22.300,00","22.250,00","22.293,98",-10,408.0,9.095.944,9.095.944
2024-11-05,"22.300,00","22.300,00","22.298,00","22.299,74",3,3.434,76.577.300,76.577.300
2024-11-06,"22.500,00","22.502,00","22.301,00","22.484,06",83,187.0,4.204.519,4.204.519
2024-11-07,"23.000,00","23.000,00","22.990,00","22.997,62",228,130.0,2.989.691,2.989.691
2024-11-08,"23.299,00","23.400,00","23.010,00","23.193,84",85,64.0,1.484.406,1.484.406
,"22.300,00","22.350,00","22.300,00","22.301,63",-21,195.0,4.348.818,4.348.818
