Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,75000,,,75000,0,0,0,0
2024-04-11,75000,,,75000,0,0,0,0
2024-05-11,75000,,,75000,0,0,0,0
2024-06-11,75000,,,75000,0,0,0,0
2024-07-11,75000,,,75000,0,0,0,0
2024-08-11,75000,,,75000,0,0,0,0
2024-10-10,75000,,,75000,0,0,0,0
2024-10-14,75000,,,75000,0,0,0,0
2024-10-15,75000,,,75000,0,0,0,0
2024-10-16,75000,,,75000,0,0,0,0
2024-10-17,75000,,,75000,0,0,0,0
2024-10-18,75000,,,75000,0,0,0,0
2024-10-21,75000,,,75000,0,0,0,0
2024-10-22,75000,,,75000,0,0,0,0
2024-10-24,75000,,,75000,0,0,0,0
2024-10-25,75000,,,75000,0,0,0,0
2024-10-28,75000,,,75000,0,0,0,0
2024-10-29,75000,,,75000,0,0,0,0
2024-10-30,75000,,,75000,0,0,0,0
2024-10-31,75000,,,75000,0,0,0,0
2024-11-01,75000,,,75000,0,0,0,0
2024-11-04,75000,,,75000,0,0,0,0
2024-11-05,75000,,,75000,0,0,0,0
2024-11-06,75000,,,75000,0,0,0,0
2024-11-07,75000,,,75000,0,0,0,0
2024-11-08,75000,,,75000,0,0,0,0
,75000,,,75000,0,0,0,0
