Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,92300,,,92300,0,0,0,0
2024-04-11,92300,,,92300,0,0,0,0
2024-05-11,92300,,,92300,0,0,0,0
2024-06-11,92300,,,92300,0,0,0,0
2024-07-11,92300,,,92300,0,0,0,0
2024-08-11,92300,,,92300,0,0,0,0
2024-10-10,92300,,,92300,0,0,0,0
2024-10-14,92300,,,92300,0,0,0,0
2024-10-15,92300,,,92300,0,0,0,0
2024-10-16,92300,,,92300,0,0,0,0
2024-10-17,92300,,,92300,0,0,0,0
2024-10-18,92300,,,92300,0,0,0,0
2024-10-21,92300,,,92300,0,0,0,0
2024-10-22,92300,,,92300,0,0,0,0
2024-10-24,92300,,,92300,0,0,0,0
2024-10-25,92300,,,92300,0,0,0,0
2024-10-28,92300,,,92300,0,0,0,0
2024-10-29,92300,,,92300,0,0,0,0
2024-10-30,92300,,,92300,0,0,0,0
2024-10-31,92300,,,92300,0,0,0,0
2024-11-01,92300,,,92300,0,0,0,0
2024-11-04,92300,,,92300,0,0,0,0
2024-11-05,92300,,,92300,0,0,0,0
2024-11-06,92300,,,92300,0,0,0,0
2024-11-07,92300,,,92300,0,0,0,0
2024-11-08,92300,,,92300,0,0,0,0
,92300,,,92300,0,0,0,0
