Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,60300,,,60300,0,0,0,0
2024-04-11,60300,,,60300,0,0,0,0
2024-05-11,60300,,,60300,0,0,0,0
2024-06-11,60300,,,60300,0,0,0,0
2024-07-11,60300,,,60300,0,0,0,0
2024-08-11,60300,,,60300,0,0,0,0
2024-10-10,60300,,,60300,0,0,0,0
2024-10-14,60300,,,60300,0,0,0,0
2024-10-15,60300,,,60300,0,0,0,0
2024-10-16,60300,,,60300,0,0,0,0
2024-10-17,60300,,,60300,0,0,0,0
2024-10-18,60300,,,60300,0,0,0,0
2024-10-21,60300,,,60300,0,0,0,0
2024-10-22,60300,,,60300,0,0,0,0
2024-10-24,60300,,,60300,0,0,0,0
2024-10-25,60300,,,60300,0,0,0,0
2024-10-28,60300,,,60300,0,0,0,0
2024-10-29,60300,,,60300,0,0,0,0
2024-10-30,60300,,,60300,0,0,0,0
2024-10-31,60300,,,60300,0,0,0,0
2024-11-01,60300,,,60300,0,0,0,0
2024-11-04,60300,,,60300,0,0,0,0
2024-11-05,60300,,,60300,0,0,0,0
2024-11-06,60300,,,60300,0,0,0,0
2024-11-07,60300,,,60300,0,0,0,0
2024-11-08,60300,,,60300,0,0,0,0
,60300,,,60300,0,0,0,0
