Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,15800,,,15800,0,0,0,0
2024-04-11,15800,,,15800,0,0,0,0
2024-05-11,15800,,,15800,0,0,0,0
2024-06-11,15800,,,15800,0,0,0,0
2024-07-11,15800,,,15800,0,0,0,0
2024-08-11,15800,,,15800,0,0,0,0
2024-10-10,15800,,,15800,0,0,0,0
2024-10-14,15800,,,15800,0,0,0,0
2024-10-15,15800,,,15800,0,0,0,0
2024-10-16,15800,,,15800,0,0,0,0
2024-10-17,15800,,,15800,0,0,0,0
2024-10-18,15800,,,15800,0,0,0,0
2024-10-21,15800,,,15800,0,0,0,0
2024-10-22,15800,,,15800,0,0,0,0
2024-10-24,15800,,,15800,0,0,0,0
2024-10-25,15800,,,15800,0,0,0,0
2024-10-28,15800,,,15800,0,0,0,0
2024-10-29,15800,,,15800,0,0,0,0
2024-10-30,15800,,,15800,0,0,0,0
2024-10-31,15800,,,15800,0,0,0,0
2024-11-01,15800,,,15800,0,0,0,0
2024-11-04,15800,,,15800,0,0,0,0
2024-11-05,15800,,,15800,0,0,0,0
2024-11-06,15800,,,15800,0,0,0,0
2024-11-07,15800,,,15800,0,0,0,0
2024-11-08,15800,,,15800,0,0,0,0
,15800,,,15800,0,0,0,0
