Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,10000,,,10000,0,0,0,0
2024-04-11,10000,,,10000,0,0,0,0
2024-05-11,10000,,,10000,0,0,0,0
2024-06-11,10000,,,10000,0,0,0,0
2024-07-11,10000,,,10000,0,0,0,0
2024-08-11,10000,,,10000,0,0,0,0
2024-10-10,10000,,,10000,0,0,0,0
2024-10-14,10000,,,10000,0,0,0,0
2024-10-15,10000,,,10000,0,0,0,0
2024-10-16,10000,,,10000,0,0,0,0
2024-10-17,10000,,,10000,0,0,0,0
2024-10-18,10000,,,10000,0,0,0,0
2024-10-21,10000,,,10000,0,0,0,0
2024-10-22,10000,,,10000,0,0,0,0
2024-10-24,10000,,,10000,0,0,0,0
2024-10-25,10000,,,10000,0,0,0,0
2024-10-28,10000,,,10000,0,0,0,0
2024-10-29,10000,,,10000,0,0,0,0
2024-10-30,10000,,,10000,0,0,0,0
2024-10-31,10000,,,10000,0,0,0,0
2024-11-01,10000,,,10000,0,0,0,0
2024-11-04,10000,,,10000,0,0,0,0
2024-11-05,10000,,,10000,0,0,0,0
2024-11-06,10000,,,10000,0,0,0,0
2024-11-07,10000,,,10000,0,0,0,0
2024-11-08,10000,,,10000,0,0,0,0
,10000,,,10000,0,0,0,0
