Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,19900,,,19900,0,0,0,0
2024-04-11,19900,,,19900,0,0,0,0
2024-05-11,19900,,,19900,0,0,0,0
2024-06-11,19900,,,19900,0,0,0,0
2024-07-11,19900,,,19900,0,0,0,0
2024-08-11,19900,,,19900,0,0,0,0
2024-10-10,19900,,,19900,0,0,0,0
2024-10-14,19900,,,19900,0,0,0,0
2024-10-15,19900,,,19900,0,0,0,0
2024-10-16,19900,,,19900,0,0,0,0
2024-10-17,19900,,,19900,0,0,0,0
2024-10-18,19900,,,19900,0,0,0,0
2024-10-21,19900,,,19900,0,0,0,0
2024-10-22,19900,,,19900,0,0,0,0
2024-10-24,19900,,,19900,0,0,0,0
2024-10-25,19900,,,19900,0,0,0,0
2024-10-28,19900,,,19900,0,0,0,0
2024-10-29,19900,,,19900,0,0,0,0
2024-10-30,19900,,,19900,0,0,0,0
2024-10-31,19900,,,19900,0,0,0,0
2024-11-01,19900,,,19900,0,0,0,0
2024-11-04,19900,,,19900,0,0,0,0
2024-11-05,19900,,,19900,0,0,0,0
2024-11-06,19900,,,19900,0,0,0,0
2024-11-07,19900,,,19900,0,0,0,0
2024-11-08,19900,,,19900,0,0,0,0
,19900,,,19900,0,0,0,0
