Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,18500,,,18500,0,0,0,0
2024-04-11,18500,,,18500,0,0,0,0
2024-05-11,18500,,,18500,0,0,0,0
2024-06-11,18500,,,18500,0,0,0,0
2024-07-11,18500,,,18500,0,0,0,0
2024-08-11,18500,,,18500,0,0,0,0
2024-10-10,18500,,,18500,0,0,0,0
2024-10-14,18500,,,18500,0,0,0,0
2024-10-15,18500,,,18500,0,0,0,0
2024-10-16,18500,,,18500,0,0,0,0
2024-10-17,18500,,,18500,0,0,0,0
2024-10-18,18500,,,18500,0,0,0,0
2024-10-21,18500,,,18500,0,0,0,0
2024-10-22,18500,,,18500,0,0,0,0
2024-10-24,18500,,,18500,0,0,0,0
2024-10-25,18500,,,18500,0,0,0,0
2024-10-28,18500,,,18500,0,0,0,0
2024-10-29,18500,,,18500,0,0,0,0
2024-10-30,18500,,,18500,0,0,0,0
2024-10-31,18500,,,18500,0,0,0,0
2024-11-01,18500,,,18500,0,0,0,0
2024-11-04,18500,,,18500,0,0,0,0
2024-11-05,18500,,,18500,0,0,0,0
2024-11-06,18500,,,18500,0,0,0,0
2024-11-07,18500,,,18500,0,0,0,0
2024-11-08,18500,,,18500,0,0,0,0
,18500,,,18500,0,0,0,0
