Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,3900,,,3900,0,0,0,0
2024-04-11,3900,,,3900,0,0,0,0
2024-05-11,3900,,,3900,0,0,0,0
2024-06-11,3900,,,3900,0,0,0,0
2024-07-11,3900,,,3900,0,0,0,0
2024-08-11,3900,,,3900,0,0,0,0
2024-10-10,3900,,,3900,0,0,0,0
2024-10-14,3900,,,3900,0,0,0,0
2024-10-15,3900,,,3900,0,0,0,0
2024-10-16,3900,,,3900,0,0,0,0
2024-10-17,3900,,,3900,0,0,0,0
2024-10-18,3900,,,3900,0,0,0,0
2024-10-21,3900,,,3900,0,0,0,0
2024-10-22,3900,,,3900,0,0,0,0
2024-10-24,3900,,,3900,0,0,0,0
2024-10-25,3900,,,3900,0,0,0,0
2024-10-28,3900,,,3900,0,0,0,0
2024-10-29,3900,,,3900,0,0,0,0
2024-10-30,3900,,,3900,0,0,0,0
2024-10-31,3900,,,3900,0,0,0,0
2024-11-01,3900,,,3900,0,0,0,0
2024-11-04,3900,,,3900,0,0,0,0
2024-11-05,3900,,,3900,0,0,0,0
2024-11-06,3900,,,3900,0,0,0,0
2024-11-07,3900,,,3900,0,0,0,0
2024-11-08,3900,,,3900,0,0,0,0
,3900,,,3900,0,0,0,0
