Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,1500,,,1500,0,0,0,0
2024-04-11,1500,,,1500,0,0,0,0
2024-05-11,1500,,,1500,0,0,0,0
2024-06-11,1500,,,1500,0,0,0,0
2024-07-11,1500,,,1500,0,0,0,0
2024-08-11,1500,,,1500,0,0,0,0
2024-10-10,1500,,,1500,0,0,0,0
2024-10-14,1500,,,1500,0,0,0,0
2024-10-15,1500,,,1500,0,0,0,0
2024-10-16,1500,,,1500,0,0,0,0
2024-10-17,1500,,,1500,0,0,0,0
2024-10-18,1500,,,1500,0,0,0,0
2024-10-21,1500,,,1500,0,0,0,0
2024-10-22,1500,,,1500,0,0,0,0
2024-10-24,1500,,,1500,0,0,0,0
2024-10-25,1500,,,1500,0,0,0,0
2024-10-28,1500,,,1500,0,0,0,0
2024-10-29,1500,,,1500,0,0,0,0
2024-10-30,1500,,,1500,0,0,0,0
2024-10-31,1500,,,1500,0,0,0,0
2024-11-01,1500,,,1500,0,0,0,0
2024-11-04,1500,,,1500,0,0,0,0
2024-11-05,1500,,,1500,0,0,0,0
2024-11-06,1500,,,1500,0,0,0,0
2024-11-07,1500,,,1500,0,0,0,0
2024-11-08,1500,,,1500,0,0,0,0
,1500,,,1500,0,0,0,0
