Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"53.561,00",,,"53.561,00",0,0,0,0
2024-04-11,"53.561,00",,,"53.561,00",0,0,0,0
2024-05-11,"53.561,00",,,"53.561,00",0,0,0,0
2024-06-11,"53.561,00",,,"53.561,00",0,0,0,0
2024-07-11,"53.561,00",,,"53.561,00",0,0,0,0
2024-08-11,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-10,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-14,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-15,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-16,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-17,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-18,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-21,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-22,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-24,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-25,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-28,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-29,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-30,"53.561,00",,,"53.561,00",0,0,0,0
2024-10-31,"53.561,00",,,"53.561,00",0,0,0,0
2024-11-01,"53.561,00",,,"53.561,00",0,0,0,0
2024-11-04,"53.561,00",,,"53.561,00",0,0,0,0
2024-11-05,"53.561,00",,,"53.561,00",0,0,0,0
2024-11-06,"53.561,00",,,"53.561,00",0,0,0,0
2024-11-07,"53.561,00",,,"53.561,00",0,0,0,0
2024-11-08,"53.561,00",,,"53.561,00",0,0,0,0
,"53.561,00",,,"53.561,00",0,0,0,0
