Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,62000,,,62000,0,0,0,0
2024-04-11,62000,,,62000,0,0,0,0
2024-05-11,62000,,,62000,0,0,0,0
2024-06-11,62000,,,62000,0,0,0,0
2024-07-11,62000,,,62000,0,0,0,0
2024-08-11,62000,,,62000,0,0,0,0
2024-10-10,62000,,,62000,0,0,0,0
2024-10-14,62000,,,62000,0,0,0,0
2024-10-15,62000,,,62000,0,0,0,0
2024-10-16,62000,,,62000,0,0,0,0
2024-10-17,62000,,,62000,0,0,0,0
2024-10-18,62000,,,62000,0,0,0,0
2024-10-21,62000,,,62000,0,0,0,0
2024-10-22,62000,,,62000,0,0,0,0
2024-10-24,62000,,,62000,0,0,0,0
2024-10-25,62000,,,62000,0,0,0,0
2024-10-28,62000,,,62000,0,0,0,0
2024-10-29,62000,,,62000,0,0,0,0
2024-10-30,62000,,,62000,0,0,0,0
2024-10-31,62000,,,62000,0,0,0,0
2024-11-01,62000,,,62000,0,0,0,0
2024-11-04,62000,,,62000,0,0,0,0
2024-11-05,62000,,,62000,0,0,0,0
2024-11-06,62000,,,62000,0,0,0,0
2024-11-07,62000,,,62000,0,0,0,0
2024-11-08,62000,,,62000,0,0,0,0
,62000,,,62000,0,0,0,0
