Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,30000,,,30000,0,0,0,0
2024-04-11,30000,,,30000,0,0,0,0
2024-05-11,30000,,,30000,0,0,0,0
2024-06-11,30000,,,30000,0,0,0,0
2024-07-11,30000,,,30000,0,0,0,0
2024-08-11,30000,,,30000,0,0,0,0
2024-10-10,30000,,,30000,0,0,0,0
2024-10-14,30000,,,30000,0,0,0,0
2024-10-15,30000,,,30000,0,0,0,0
2024-10-16,30000,,,30000,0,0,0,0
2024-10-17,30000,,,30000,0,0,0,0
2024-10-18,30000,,,30000,0,0,0,0
2024-10-21,30000,,,30000,0,0,0,0
2024-10-22,30000,,,30000,0,0,0,0
2024-10-24,30000,,,30000,0,0,0,0
2024-10-25,30000,,,30000,0,0,0,0
2024-10-28,30000,,,30000,0,0,0,0
2024-10-29,30000,,,30000,0,0,0,0
2024-10-30,30000,,,30000,0,0,0,0
2024-10-31,30000,,,30000,0,0,0,0
2024-11-01,30000,,,30000,0,0,0,0
2024-11-04,30000,,,30000,0,0,0,0
2024-11-05,30000,,,30000,0,0,0,0
2024-11-06,30000,,,30000,0,0,0,0
2024-11-07,30000,,,30000,0,0,0,0
2024-11-08,30000,,,30000,0,0,0,0
,30000,,,30000,0,0,0,0
