Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,31000,,,31000,0,0,0.0,0
2024-04-11,31000,,,31000,0,0,0.0,0
2024-05-11,31000,,,31000,0,0,0.0,0
2024-06-11,31000,,,31000,0,0,0.0,0
2024-07-11,31000,,,31000,0,0,0.0,0
2024-08-11,31000,,,31000,0,0,0.0,0
2024-10-10,31000,31000.0,31000.0,31000,-3800,60,18.6,18.600
2024-10-14,31000,,,31000,0,0,0.0,0
2024-10-15,31000,,,31000,0,0,0.0,0
2024-10-16,31000,,,31000,0,0,0.0,0
2024-10-17,31000,,,31000,0,0,0.0,0
2024-10-18,31000,,,31000,0,0,0.0,9.943.500
2024-10-21,31000,,,31000,0,0,0.0,0
2024-10-22,31000,,,31000,0,0,0.0,0
2024-10-24,31000,,,31000,0,0,0.0,0
2024-10-25,31000,,,31000,0,0,0.0,0
2024-10-28,31000,,,31000,0,0,0.0,0
2024-10-29,31000,,,31000,0,0,0.0,0
2024-10-30,31000,,,31000,0,0,0.0,0
2024-10-31,31000,,,31000,0,0,0.0,0
2024-11-01,31000,,,31000,0,0,0.0,0
2024-11-04,31000,,,31000,0,0,0.0,0
2024-11-05,31000,,,31000,0,0,0.0,0
2024-11-06,31000,,,31000,0,0,0.0,0
2024-11-07,31000,,,31000,0,0,0.0,0
2024-11-08,31000,,,31000,0,0,0.0,0
,31000,,,31000,0,0,0.0,0
