Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"1.600,00",,,"1.600,00",0,0.0,0,0
2024-04-11,"1.630,00","1.630,00","1.630,00","1.630,00",188,100.0,163.000,163.000
2024-05-11,"1.590,00","1.630,00","1.590,00","1.613,33",-102,84.0,135.520,135.520
2024-06-11,"1.600,00","1.600,00","1.600,00","1.600,00",-83,370.0,592.000,592.000
2024-07-11,"1.631,00","1.631,00","1.600,00","1.606,01",38,1.234,1.981.820,1.981.820
2024-08-11,"1.650,00","1.650,00","1.630,00","1.645,87",248,63.0,103.690,103.690
2024-10-10,"1.630,00","1.630,00","1.630,00","1.630,00",0,10.0,16.300,16.300
2024-10-14,"1.600,00","1.601,00","1.600,00","1.600,62",-180,162.0,259.300,259.300
2024-10-15,"1.600,00",,,"1.600,62",0,0.0,0,0
2024-10-16,"1.600,00","1.630,00","1.600,00","1.623,94",146,297.0,482.310,482.310
2024-10-17,"1.601,00","1.601,00","1.600,00","1.600,94",-142,116.0,185.709,185.709
2024-10-18,"1.630,00","1.630,00","1.630,00","1.630,00",182,250.0,407.500,407.500
2024-10-21,"1.630,00","1.630,00","1.630,00","1.630,00",0,120.0,195.600,195.600
2024-10-22,"1.630,00","1.630,00","1.630,00","1.630,00",0,100.0,163.000,163.000
2024-10-24,"1.670,00","1.670,00","1.630,00","1.632,16",13,185.0,301.950,301.950
2024-10-25,"1.600,00","1.630,00","1.600,00","1.619,05",-80,494.0,799.810,799.810
2024-10-28,"1.600,00",,,"1.619,05",0,0.0,0,0
2024-10-29,"1.630,00","1.630,00","1.630,00","1.630,00",68,10.0,16.300,16.300
2024-10-30,"1.600,00","1.600,00","1.600,00","1.600,00",-184,88.0,140.800,140.800
2024-10-31,"1.600,00","1.600,00","1.600,00","1.600,00",0,268.0,428.800,428.800
2024-11-01,"1.600,00",,,"1.600,00",0,0.0,0,0
2024-11-04,"1.630,00","1.630,00","1.630,00","1.630,00",188,100.0,163.000,163.000
2024-11-05,"1.590,00","1.630,00","1.590,00","1.613,33",-102,84.0,135.520,135.520
2024-11-06,"1.600,00","1.600,00","1.600,00","1.600,00",-83,370.0,592.000,592.000
2024-11-07,"1.631,00","1.631,00","1.600,00","1.606,01",38,1.234,1.981.820,1.981.820
2024-11-08,"1.650,00","1.650,00","1.630,00","1.645,87",248,63.0,103.690,103.690
,"1.600,00","1.601,00","1.600,00","1.600,62",-180,162.0,259.300,259.300
