Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-04-11,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-05-11,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-06-11,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-07-11,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-08-11,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-10,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-14,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-15,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-16,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-17,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-18,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-21,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-22,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-24,"3.700,00","3.700,00","3.700,00","3.700,00",0,19,70.3,70.3
2024-10-25,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-28,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-29,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-30,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-10-31,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-11-01,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-11-04,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-11-05,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-11-06,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-11-07,"3.700,00",,,"3.700,00",0,0,0.0,0.0
2024-11-08,"3.700,00",,,"3.700,00",0,0,0.0,0.0
,"3.700,00",,,"3.700,00",0,0,0.0,0.0
