Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"4.005,00",,,"4.005,00",0,0,0,0
2024-04-11,"4.005,00",,,"4.005,00",0,0,0,0
2024-05-11,"4.005,00",,,"4.005,00",0,0,0,0
2024-06-11,"4.005,00",,,"4.005,00",0,0,0,0
2024-07-11,"4.005,00",,,"4.005,00",0,0,0,0
2024-08-11,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-10,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-14,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-15,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-16,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-17,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-18,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-21,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-22,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-24,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-25,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-28,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-29,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-30,"4.005,00",,,"4.005,00",0,0,0,0
2024-10-31,"4.005,00",,,"4.005,00",0,0,0,0
2024-11-01,"4.005,00",,,"4.005,00",0,0,0,0
2024-11-04,"4.005,00",,,"4.005,00",0,0,0,0
2024-11-05,"4.005,00",,,"4.005,00",0,0,0,0
2024-11-06,"4.005,00",,,"4.005,00",0,0,0,0
2024-11-07,"4.005,00",,,"4.005,00",0,0,0,0
2024-11-08,"4.005,00",,,"4.005,00",0,0,0,0
,"4.005,00",,,"4.005,00",0,0,0,0
