Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"5.050,00",,,"5.050,00",0,0,0,0
2024-04-11,"5.050,00",,,"5.050,00",0,0,0,0
2024-05-11,"5.050,00",,,"5.050,00",0,0,0,0
2024-06-11,"5.050,00",,,"5.050,00",0,0,0,0
2024-07-11,"5.050,00",,,"5.050,00",0,0,0,0
2024-08-11,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-10,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-14,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-15,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-16,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-17,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-18,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-21,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-22,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-24,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-25,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-28,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-29,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-30,"5.050,00",,,"5.050,00",0,0,0,0
2024-10-31,"5.050,00",,,"5.050,00",0,0,0,0
2024-11-01,"5.050,00",,,"5.050,00",0,0,0,0
2024-11-04,"5.050,00",,,"5.050,00",0,0,0,0
2024-11-05,"5.050,00",,,"5.050,00",0,0,0,0
2024-11-06,"5.050,00",,,"5.050,00",0,0,0,0
2024-11-07,"5.050,00",,,"5.050,00",0,0,0,0
2024-11-08,"5.050,00",,,"5.050,00",0,0,0,0
,"5.050,00",,,"5.050,00",0,0,0,0
