Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,32000,,,32000,0,0,0,0
2024-04-11,32000,,,32000,0,0,0,0
2024-05-11,32000,,,32000,0,0,0,0
2024-06-11,32000,,,32000,0,0,0,0
2024-07-11,32000,,,32000,0,0,0,0
2024-08-11,32000,,,32000,0,0,0,0
2024-10-10,32000,,,32000,0,0,0,0
2024-10-14,32000,,,32000,0,0,0,0
2024-10-15,32000,,,32000,0,0,0,0
2024-10-16,32000,,,32000,0,0,0,0
2024-10-17,32000,,,32000,0,0,0,0
2024-10-18,32000,,,32000,0,0,0,0
2024-10-21,32000,,,32000,0,0,0,0
2024-10-22,32000,,,32000,0,0,0,0
2024-10-24,32000,,,32000,0,0,0,0
2024-10-25,32000,,,32000,0,0,0,0
2024-10-28,32000,,,32000,0,0,0,0
2024-10-29,32000,,,32000,0,0,0,0
2024-10-30,32000,,,32000,0,0,0,0
2024-10-31,32000,,,32000,0,0,0,0
2024-11-01,32000,,,32000,0,0,0,0
2024-11-04,32000,,,32000,0,0,0,0
2024-11-05,32000,,,32000,0,0,0,0
2024-11-06,32000,,,32000,0,0,0,0
2024-11-07,32000,,,32000,0,0,0,0
2024-11-08,32000,,,32000,0,0,0,0
,32000,,,32000,0,0,0,0
