Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,37200,,,37200,0,0,0,0
2024-04-11,37200,,,37200,0,0,0,0
2024-05-11,37200,,,37200,0,0,0,0
2024-06-11,37200,,,37200,0,0,0,0
2024-07-11,37200,,,37200,0,0,0,0
2024-08-11,37200,,,37200,0,0,0,0
2024-10-10,37200,,,37200,0,0,0,0
2024-10-14,37200,,,37200,0,0,0,0
2024-10-15,37200,,,37200,0,0,0,0
2024-10-16,37200,,,37200,0,0,0,0
2024-10-17,37200,,,37200,0,0,0,0
2024-10-18,37200,,,37200,0,0,0,0
2024-10-21,37200,,,37200,0,0,0,0
2024-10-22,37200,,,37200,0,0,0,0
2024-10-24,37200,,,37200,0,0,0,0
2024-10-25,37200,,,37200,0,0,0,0
2024-10-28,37200,,,37200,0,0,0,0
2024-10-29,37200,,,37200,0,0,0,0
2024-10-30,37200,,,37200,0,0,0,0
2024-10-31,37200,,,37200,0,0,0,0
2024-11-01,37200,,,37200,0,0,0,0
2024-11-04,37200,,,37200,0,0,0,0
2024-11-05,37200,,,37200,0,0,0,0
2024-11-06,37200,,,37200,0,0,0,0
2024-11-07,37200,,,37200,0,0,0,0
2024-11-08,37200,,,37200,0,0,0,0
,37200,,,37200,0,0,0,0
