Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,11900,,,11900,0,0,0,0
2024-04-11,11900,,,11900,0,0,0,0
2024-05-11,11900,,,11900,0,0,0,0
2024-06-11,11900,,,11900,0,0,0,0
2024-07-11,11900,,,11900,0,0,0,0
2024-08-11,11900,,,11900,0,0,0,0
2024-10-10,11900,,,11900,0,0,0,0
2024-10-14,11900,,,11900,0,0,0,0
2024-10-15,11900,,,11900,0,0,0,0
2024-10-16,11900,,,11900,0,0,0,0
2024-10-17,11900,,,11900,0,0,0,0
2024-10-18,11900,,,11900,0,0,0,0
2024-10-21,11900,,,11900,0,0,0,0
2024-10-22,11900,,,11900,0,0,0,0
2024-10-24,11900,,,11900,0,0,0,0
2024-10-25,11900,,,11900,0,0,0,0
2024-10-28,11900,,,11900,0,0,0,0
2024-10-29,11900,,,11900,0,0,0,0
2024-10-30,11900,,,11900,0,0,0,0
2024-10-31,11900,,,11900,0,0,0,0
2024-11-01,11900,,,11900,0,0,0,0
2024-11-04,11900,,,11900,0,0,0,0
2024-11-05,11900,,,11900,0,0,0,0
2024-11-06,11900,,,11900,0,0,0,0
2024-11-07,11900,,,11900,0,0,0,0
2024-11-08,11900,,,11900,0,0,0,0
,11900,,,11900,0,0,0,0
