Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,15000,,,15000,0,0,0.0,0.0
2024-04-11,15000,,,15000,0,0,0.0,0.0
2024-05-11,15000,,,15000,0,0,0.0,0.0
2024-06-11,15000,,,15000,0,0,0.0,0.0
2024-07-11,15000,,,15000,0,0,0.0,0.0
2024-08-11,15000,,,15000,0,0,0.0,0.0
2024-10-10,15000,,,15000,0,0,0.0,0.0
2024-10-14,15000,,,15000,0,0,0.0,0.0
2024-10-15,15000,,,15000,0,0,0.0,0.0
2024-10-16,15000,,,15000,0,0,0.0,0.0
2024-10-17,15000,,,15000,0,0,0.0,0.0
2024-10-18,15000,,,15000,0,0,0.0,0.0
2024-10-21,15000,,,15000,0,0,0.0,0.0
2024-10-22,15000,,,15000,0,0,0.0,0.0
2024-10-24,15000,,,15000,0,0,0.0,0.0
2024-10-25,15000,15000.0,15000.0,15000,0,50,7.5,7.5
2024-10-28,15000,,,15000,0,0,0.0,0.0
2024-10-29,15000,,,15000,0,0,0.0,0.0
2024-10-30,15000,,,15000,0,0,0.0,0.0
2024-10-31,15000,,,15000,0,0,0.0,0.0
2024-11-01,15000,,,15000,0,0,0.0,0.0
2024-11-04,15000,,,15000,0,0,0.0,0.0
2024-11-05,15000,,,15000,0,0,0.0,0.0
2024-11-06,15000,,,15000,0,0,0.0,0.0
2024-11-07,15000,,,15000,0,0,0.0,0.0
2024-11-08,15000,,,15000,0,0,0.0,0.0
,15000,,,15000,0,0,0.0,0.0
