Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,60000,,,60000,0,0,0,0
2024-04-11,60000,,,60000,0,0,0,0
2024-05-11,60000,,,60000,0,0,0,0
2024-06-11,60000,,,60000,0,0,0,0
2024-07-11,60000,,,60000,0,0,0,0
2024-08-11,60000,,,60000,0,0,0,0
2024-10-10,60000,,,60000,0,0,0,0
2024-10-14,60000,,,60000,0,0,0,0
2024-10-15,60000,,,60000,0,0,0,0
2024-10-16,60000,,,60000,0,0,0,0
2024-10-17,60000,,,60000,0,0,0,0
2024-10-18,60000,,,60000,0,0,0,0
2024-10-21,60000,,,60000,0,0,0,0
2024-10-22,60000,,,60000,0,0,0,0
2024-10-24,60000,,,60000,0,0,0,0
2024-10-25,60000,,,60000,0,0,0,0
2024-10-28,60000,,,60000,0,0,0,0
2024-10-29,60000,,,60000,0,0,0,0
2024-10-30,60000,,,60000,0,0,0,0
2024-10-31,60000,,,60000,0,0,0,0
2024-11-01,60000,,,60000,0,0,0,0
2024-11-04,60000,,,60000,0,0,0,0
2024-11-05,60000,,,60000,0,0,0,0
2024-11-06,60000,,,60000,0,0,0,0
2024-11-07,60000,,,60000,0,0,0,0
2024-11-08,60000,,,60000,0,0,0,0
,60000,,,60000,0,0,0,0
