Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"89.458,00",,,"89.458,00",0,0,0,0
2024-04-11,"89.458,00",,,"89.458,00",0,0,0,0
2024-05-11,"89.458,00",,,"89.458,00",0,0,0,0
2024-06-11,"89.458,00",,,"89.458,00",0,0,0,0
2024-07-11,"89.458,00",,,"89.458,00",0,0,0,0
2024-08-11,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-10,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-14,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-15,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-16,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-17,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-18,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-21,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-22,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-24,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-25,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-28,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-29,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-30,"89.458,00",,,"89.458,00",0,0,0,0
2024-10-31,"89.458,00",,,"89.458,00",0,0,0,0
2024-11-01,"89.458,00",,,"89.458,00",0,0,0,0
2024-11-04,"89.458,00",,,"89.458,00",0,0,0,0
2024-11-05,"89.458,00",,,"89.458,00",0,0,0,0
2024-11-06,"89.458,00",,,"89.458,00",0,0,0,0
2024-11-07,"89.458,00",,,"89.458,00",0,0,0,0
2024-11-08,"89.458,00",,,"89.458,00",0,0,0,0
,"89.458,00",,,"89.458,00",0,0,0,0
