Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,23700,,,23700,0,0,0,0
2024-04-11,23700,,,23700,0,0,0,0
2024-05-11,23700,,,23700,0,0,0,0
2024-06-11,23700,,,23700,0,0,0,0
2024-07-11,23700,,,23700,0,0,0,0
2024-08-11,23700,,,23700,0,0,0,0
2024-10-10,23700,,,23700,0,0,0,0
2024-10-14,23700,,,23700,0,0,0,0
2024-10-15,23700,,,23700,0,0,0,0
2024-10-16,23700,,,23700,0,0,0,0
2024-10-17,23700,,,23700,0,0,0,0
2024-10-18,23700,,,23700,0,0,0,0
2024-10-21,23700,,,23700,0,0,0,0
2024-10-22,23700,,,23700,0,0,0,0
2024-10-24,23700,,,23700,0,0,0,0
2024-10-25,23700,,,23700,0,0,0,0
2024-10-28,23700,,,23700,0,0,0,0
2024-10-29,23700,,,23700,0,0,0,0
2024-10-30,23700,,,23700,0,0,0,0
2024-10-31,23700,,,23700,0,0,0,0
2024-11-01,23700,,,23700,0,0,0,0
2024-11-04,23700,,,23700,0,0,0,0
2024-11-05,23700,,,23700,0,0,0,0
2024-11-06,23700,,,23700,0,0,0,0
2024-11-07,23700,,,23700,0,0,0,0
2024-11-08,23700,,,23700,0,0,0,0
,23700,,,23700,0,0,0,0
