Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,9900,,,9900,0,0,0,0
2024-04-11,9900,,,9900,0,0,0,0
2024-05-11,9900,,,9900,0,0,0,0
2024-06-11,9900,,,9900,0,0,0,0
2024-07-11,9900,,,9900,0,0,0,0
2024-08-11,9900,,,9900,0,0,0,0
2024-10-10,9900,,,9900,0,0,0,0
2024-10-14,9900,,,9900,0,0,0,0
2024-10-15,9900,,,9900,0,0,0,0
2024-10-16,9900,,,9900,0,0,0,0
2024-10-17,9900,,,9900,0,0,0,0
2024-10-18,9900,,,9900,0,0,0,0
2024-10-21,9900,,,9900,0,0,0,0
2024-10-22,9900,,,9900,0,0,0,0
2024-10-24,9900,,,9900,0,0,0,0
2024-10-25,9900,,,9900,0,0,0,0
2024-10-28,9900,,,9900,0,0,0,0
2024-10-29,9900,,,9900,0,0,0,0
2024-10-30,9900,,,9900,0,0,0,0
2024-10-31,9900,,,9900,0,0,0,0
2024-11-01,9900,,,9900,0,0,0,0
2024-11-04,9900,,,9900,0,0,0,0
2024-11-05,9900,,,9900,0,0,0,0
2024-11-06,9900,,,9900,0,0,0,0
2024-11-07,9900,,,9900,0,0,0,0
2024-11-08,9900,,,9900,0,0,0,0
,9900,,,9900,0,0,0,0
