Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,31500,,,31500,0,0,0,0
2024-04-11,31500,,,31500,0,0,0,0
2024-05-11,31500,,,31500,0,0,0,0
2024-06-11,31500,,,31500,0,0,0,0
2024-07-11,31500,,,31500,0,0,0,0
2024-08-11,31500,,,31500,0,0,0,0
2024-10-10,31500,,,31500,0,0,0,0
2024-10-14,31500,,,31500,0,0,0,0
2024-10-15,31500,,,31500,0,0,0,0
2024-10-16,31500,,,31500,0,0,0,0
2024-10-17,31500,,,31500,0,0,0,0
2024-10-18,31500,,,31500,0,0,0,0
2024-10-21,31500,,,31500,0,0,0,0
2024-10-22,31500,,,31500,0,0,0,0
2024-10-24,31500,,,31500,0,0,0,0
2024-10-25,31500,,,31500,0,0,0,0
2024-10-28,31500,,,31500,0,0,0,0
2024-10-29,31500,,,31500,0,0,0,0
2024-10-30,31500,,,31500,0,0,0,0
2024-10-31,31500,,,31500,0,0,0,0
2024-11-01,31500,,,31500,0,0,0,0
2024-11-04,31500,,,31500,0,0,0,0
2024-11-05,31500,,,31500,0,0,0,0
2024-11-06,31500,,,31500,0,0,0,0
2024-11-07,31500,,,31500,0,0,0,0
2024-11-08,31500,,,31500,0,0,0,0
,31500,,,31500,0,0,0,0
