Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,50000,,,50000,0,0,0,0
2024-04-11,50000,,,50000,0,0,0,0
2024-05-11,50000,,,50000,0,0,0,0
2024-06-11,50000,,,50000,0,0,0,0
2024-07-11,50000,,,50000,0,0,0,0
2024-08-11,50000,,,50000,0,0,0,0
2024-10-18,50000,,,50000,0,0,0,0
2024-10-21,50000,,,50000,0,0,0,0
2024-10-22,50000,,,50000,0,0,0,0
2024-10-24,50000,,,50000,0,0,0,0
2024-10-25,50000,,,50000,0,0,0,0
2024-10-28,50000,,,50000,0,0,0,0
2024-10-29,50000,,,50000,0,0,0,0
2024-10-30,50000,,,50000,0,0,0,0
2024-10-31,50000,,,50000,0,0,0,0
2024-11-01,50000,,,50000,0,0,0,0
2024-11-04,50000,,,50000,0,0,0,0
2024-11-05,50000,,,50000,0,0,0,0
2024-11-06,50000,,,50000,0,0,0,0
2024-11-07,50000,,,50000,0,0,0,0
2024-11-08,50000,,,50000,0,0,0,0
,50000,,,50000,0,0,0,0
