Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"85.500,00","85.500,00","85.500,00","85.500,00",59,15,1.282.500,1.282.500
2024-04-11,"85.500,00","85.500,00","85.499,00","85.499,91",0,11,940.499,940.499
2024-05-11,"85.499,00","85.500,00","85.499,00","85.499,50",0,4,341.998,33.661.998
2024-06-11,"85.500,00","85.500,00","85.000,00","85.436,17",-7,47,4.015.500,4.015.500
2024-07-11,"85.700,00","85.750,00","85.700,00","85.725,00",34,4,342.900,342.900
2024-08-11,"85.001,00","85.001,00","85.001,00","85.001,00",-84,10,850.010,850.010
2024-10-10,"85.900,00","85.900,00","85.900,00","85.900,00",-12,3,257.700,257.700
2024-10-14,"85.900,00","85.900,00","85.899,00","85.899,56",0,9,773.096,773.096
2024-10-15,"85.990,00","85.990,00","85.990,00","85.990,00",11,1,85.990,85.990
2024-10-16,"85.500,00","85.550,00","85.500,00","85.503,12",-57,16,1.368.050,1.368.050
2024-10-17,"85.000,00","85.500,00","85.000,00","85.300,24",-24,45,3.838.511,3.838.511
2024-10-18,"85.000,00","85.000,00","85.000,00","85.000,00",-35,2,170.000,170.000
2024-10-21,"85.000,00",,,"85.000,00",0,0,0,0
2024-10-22,"84.500,00","85.000,00","84.500,00","84.979,12",-2,24,2.039.499,2.039.499
2024-10-24,"85.500,00","85.500,00","85.000,00","85.428,57",53,7,598.000,598.000
2024-10-25,"85.500,00","85.500,00","85.000,00","85.313,88",-13,59,5.033.519,5.033.519
2024-10-28,"85.500,00","85.500,00","85.000,00","85.100,00",-25,5,425.500,425.500
2024-10-29,"84.500,00","84.501,00","84.500,00","84.500,12",-70,8,676.001,676.001
2024-10-30,"84.401,00","85.000,00","84.401,00","84.521,57",3,14,1.183.302,1.183.302
2024-10-31,"85.000,00","85.000,00","85.000,00","85.000,00",57,754,64.090.000,64.090.000
2024-11-01,"85.500,00","85.500,00","85.500,00","85.500,00",59,15,1.282.500,1.282.500
2024-11-04,"85.500,00","85.500,00","85.499,00","85.499,91",0,11,940.499,940.499
2024-11-05,"85.499,00","85.500,00","85.499,00","85.499,50",0,4,341.998,33.661.998
2024-11-06,"85.500,00","85.500,00","85.000,00","85.436,17",-7,47,4.015.500,4.015.500
2024-11-07,"85.700,00","85.750,00","85.700,00","85.725,00",34,4,342.900,342.900
2024-11-08,"85.001,00","85.001,00","85.001,00","85.001,00",-84,10,850.010,850.010
,"85.900,00","85.900,00","85.899,00","85.899,56",0,9,773.096,773.096
