Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"7.710,00",,,"7.754,83",0,0.0,0,0
2024-04-11,"7.710,00",,,"7.754,83",0,0.0,0,315.276.500
2024-05-11,"7.710,00",,,"7.754,83",0,0.0,0,0
2024-06-11,"7.710,00",,,"7.754,83",0,0.0,0,0
2024-07-11,"8.000,00","8.000,00","8.000,00","8.000,00",316,5.0,40.000,40.000
2024-08-11,"8.000,00",,,"8.000,00",0,0.0,0,0
2024-10-10,"9.000,00","9.000,00","9.000,00","9.000,00",115,36.0,324.000,6.784.000
2024-10-14,"9.000,00","9.000,00","9.000,00","9.000,00",0,17.0,153.000,153.000
2024-10-15,"8.700,00","8.700,00","8.700,00","8.700,00",-333,3.0,26.100,26.100
2024-10-16,"8.700,00","8.700,00","8.700,00","8.700,00",0,17.0,147.900,147.900
2024-10-17,"8.500,00","8.500,00","8.500,00","8.500,00",-230,25.0,212.500,212.500
2024-10-18,"7.720,00","8.500,00","7.720,00","8.282,33",-256,15.158,125.543.620,125.543.620
2024-10-21,"7.720,00",,,"8.282,33",0,0.0,0,0
2024-10-22,"7.720,00",,,"8.282,33",0,0.0,0,9.047.000
2024-10-24,"7.800,00","7.800,00","7.650,00","7.673,19",-735,690.0,5.294.500,5.294.500
2024-10-25,"7.900,00","7.900,00","7.700,00","7.797,96",163,392.0,3.056.800,37.868.200
2024-10-28,"7.900,00",,,"7.797,96",0,0.0,0,0
2024-10-29,"7.900,00",,,"7.797,96",0,0.0,0,0
2024-10-30,"8.000,00","8.000,00","8.000,00","8.000,00",259,14.0,112.000,564.161.710
2024-10-31,"7.710,00","7.760,00","7.710,00","7.754,83",-306,290.0,2.248.900,2.248.900
2024-11-01,"7.710,00",,,"7.754,83",0,0.0,0,0
2024-11-04,"7.710,00",,,"7.754,83",0,0.0,0,315.276.500
2024-11-05,"7.710,00",,,"7.754,83",0,0.0,0,0
2024-11-06,"7.710,00",,,"7.754,83",0,0.0,0,0
2024-11-07,"8.000,00","8.000,00","8.000,00","8.000,00",316,5.0,40.000,40.000
2024-11-08,"8.000,00",,,"8.000,00",0,0.0,0,0
,"9.000,00","9.000,00","9.000,00","9.000,00",0,17.0,153.000,153.000
