Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,60700,,,60700,0,0,0,0
2024-04-11,60700,,,60700,0,0,0,0
2024-05-11,60700,,,60700,0,0,0,0
2024-06-11,60700,,,60700,0,0,0,0
2024-07-11,60700,,,60700,0,0,0,0
2024-08-11,60700,,,60700,0,0,0,0
2024-10-10,60700,,,60700,0,0,0,0
2024-10-14,60700,,,60700,0,0,0,0
2024-10-15,60700,,,60700,0,0,0,0
2024-10-16,60700,,,60700,0,0,0,0
2024-10-17,60700,,,60700,0,0,0,0
2024-10-18,60700,,,60700,0,0,0,0
2024-10-21,60700,,,60700,0,0,0,0
2024-10-22,60700,,,60700,0,0,0,0
2024-10-24,60700,,,60700,0,0,0,0
2024-10-25,60700,,,60700,0,0,0,0
2024-10-28,60700,,,60700,0,0,0,0
2024-10-29,60700,,,60700,0,0,0,0
2024-10-30,60700,,,60700,0,0,0,0
2024-10-31,60700,,,60700,0,0,0,0
2024-11-01,60700,,,60700,0,0,0,0
2024-11-04,60700,,,60700,0,0,0,0
2024-11-05,60700,,,60700,0,0,0,0
2024-11-06,60700,,,60700,0,0,0,0
2024-11-07,60700,,,60700,0,0,0,0
2024-11-08,60700,,,60700,0,0,0,0
,60700,,,60700,0,0,0,0
