Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"61.500,00",,,"61.500,00",0,0,0,0
2024-04-11,"61.500,00",,,"61.500,00",0,0,0,0
2024-05-11,"61.500,00",,,"61.500,00",0,0,0,0
2024-06-11,"61.500,00",,,"61.500,00",0,0,0,0
2024-07-11,"61.500,00",,,"61.500,00",0,0,0,0
2024-08-11,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-10,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-14,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-15,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-16,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-17,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-18,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-21,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-22,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-24,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-25,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-28,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-29,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-30,"61.500,00",,,"61.500,00",0,0,0,0
2024-10-31,"61.500,00",,,"61.500,00",0,0,0,0
2024-11-01,"61.500,00",,,"61.500,00",0,0,0,0
2024-11-04,"61.500,00",,,"61.500,00",0,0,0,0
2024-11-05,"61.500,00",,,"61.500,00",0,0,0,0
2024-11-06,"61.500,00",,,"61.500,00",0,0,0,0
2024-11-07,"61.500,00",,,"61.500,00",0,0,0,0
2024-11-08,"61.500,00",,,"61.500,00",0,0,0,0
,"61.500,00",,,"61.500,00",0,0,0,0
