Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,,,,,,0,0,0
2024-04-11,,,,,,0,0,0
2024-05-11,,,,,,0,0,0
2024-06-11,,,,,,0,0,0
2024-07-11,,,,,,0,0,0
2024-08-11,,,,,,0,0,0
2024-10-10,,,,,,0,0,0
2024-10-14,,,,,,0,0,0
2024-10-15,,,,,,0,0,0
2024-10-16,,,,,,0,0,0
2024-10-17,,,,,,0,0,0
2024-10-18,,,,,,0,0,0
2024-10-21,,,,,,0,0,0
2024-10-22,,,,,,0,0,0
2024-10-24,,,,,,0,0,0
2024-10-25,,,,,,0,0,0
2024-10-28,,,,,,0,0,0
2024-10-29,,,,,,0,0,0
2024-10-30,,,,,,0,0,0
2024-10-31,,,,,,0,0,0
2024-11-01,,,,,,0,0,0
2024-11-04,,,,,,0,0,0
2024-11-05,,,,,,0,0,0
2024-11-06,,,,,,0,0,0
2024-11-07,,,,,,0,0,0
2024-11-08,,,,,,0,0,0
,,,,,,0,0,0
