Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-04-11,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-05-11,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-06-11,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-07-11,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-08-11,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-10-10,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-10-14,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-10-15,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-10-16,"5.919,00","5.919,00","5.850,00","5.916,49",-4,3.208,18.980.097,18.980.097
2024-10-17,"5.919,00","5.919,00","5.919,00","5.919,00",4,132.0,781.308,781.308
2024-10-18,"5.919,00","5.919,00","5.919,00","5.919,00",0,109.0,645.171,645.171
2024-10-21,"5.919,00","5.920,00","5.919,00","5.919,22",0,276.0,1.633.704,1.633.704
2024-10-22,"5.919,00","5.919,00","5.919,00","5.919,00",0,132.0,781.308,781.308
2024-10-24,"5.919,00","5.919,00","5.919,00","5.919,00",0,133.0,787.227,787.227
2024-10-25,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-10-28,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-10-29,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-10-30,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-10-31,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-11-01,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-11-04,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-11-05,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-11-06,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-11-07,"5.919,00",,,"5.919,00",0,0.0,0,0
2024-11-08,"5.919,00",,,"5.919,00",0,0.0,0,0
,"5.919,00",,,"5.919,00",0,0.0,0,0
