Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,30800,,,30800,0,0.0,0.0,0.0
2024-04-11,30800,,,30800,0,0.0,0.0,0.0
2024-05-11,30800,,,30800,0,0.0,0.0,0.0
2024-06-11,30800,,,30800,0,0.0,0.0,0.0
2024-07-11,30800,,,30800,0,0.0,0.0,0.0
2024-08-11,30800,,,30800,0,0.0,0.0,0.0
2024-10-10,30000,,,30000,0,0.0,0.0,0.0
2024-10-14,30800,30800.0,30800.0,30800,267,1.23,378.84,378.84
2024-10-15,30800,,,30800,0,0.0,0.0,0.0
2024-10-16,30800,,,30800,0,0.0,0.0,0.0
2024-10-17,30800,,,30800,0,0.0,0.0,0.0
2024-10-18,30800,,,30800,0,0.0,0.0,0.0
2024-10-21,30800,,,30800,0,0.0,0.0,0.0
2024-10-22,30800,,,30800,0,0.0,0.0,0.0
2024-10-24,30800,,,30800,0,0.0,0.0,0.0
2024-10-25,30800,,,30800,0,0.0,0.0,0.0
2024-10-28,30800,,,30800,0,0.0,0.0,0.0
2024-10-29,30800,,,30800,0,0.0,0.0,0.0
2024-10-30,30800,,,30800,0,0.0,0.0,0.0
2024-10-31,30800,,,30800,0,0.0,0.0,0.0
2024-11-01,30800,,,30800,0,0.0,0.0,0.0
2024-11-04,30800,,,30800,0,0.0,0.0,0.0
2024-11-05,30800,,,30800,0,0.0,0.0,0.0
2024-11-06,30800,,,30800,0,0.0,0.0,0.0
2024-11-07,30800,,,30800,0,0.0,0.0,0.0
2024-11-08,30800,,,30800,0,0.0,0.0,0.0
,30800,30800.0,30800.0,30800,267,1.23,378.84,378.84
