Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"17.550,00",,,"17.550,00",0,0,0,0
2024-04-11,"17.550,00",,,"17.550,00",0,0,0,0
2024-05-11,"17.550,00",,,"17.550,00",0,0,0,0
2024-06-11,"17.550,00",,,"17.550,00",0,0,0,0
2024-07-11,"17.550,00",,,"17.550,00",0,0,0,0
2024-08-11,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-10,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-14,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-15,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-16,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-17,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-18,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-21,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-22,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-24,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-25,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-28,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-29,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-30,"17.550,00",,,"17.550,00",0,0,0,0
2024-10-31,"17.550,00",,,"17.550,00",0,0,0,0
2024-11-01,"17.550,00",,,"17.550,00",0,0,0,0
2024-11-04,"17.550,00",,,"17.550,00",0,0,0,0
2024-11-05,"17.550,00",,,"17.550,00",0,0,0,0
2024-11-06,"17.550,00",,,"17.550,00",0,0,0,0
2024-11-07,"17.550,00",,,"17.550,00",0,0,0,0
2024-11-08,"17.550,00",,,"17.550,00",0,0,0,0
,"17.550,00",,,"17.550,00",0,0,0,0
