Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-04-11,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-05-11,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-06-11,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-07-11,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-08-11,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-10,"35.000,00","35.000,00","35.000,00","35.000,00",0,8,280.0,280.0
2024-10-14,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-15,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-16,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-17,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-18,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-21,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-22,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-24,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-25,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-28,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-29,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-30,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-10-31,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-11-01,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-11-04,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-11-05,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-11-06,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-11-07,"35.000,00",,,"35.000,00",0,0,0.0,0.0
2024-11-08,"35.000,00",,,"35.000,00",0,0,0.0,0.0
,"35.000,00",,,"35.000,00",0,0,0.0,0.0
