Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,84000,,,84000,0,0,0,0
2024-04-11,84000,,,84000,0,0,0,0
2024-05-11,84000,,,84000,0,0,0,0
2024-06-11,84000,,,84000,0,0,0,0
2024-07-11,84000,,,84000,0,0,0,0
2024-08-11,84000,,,84000,0,0,0,0
2024-10-10,84000,,,84000,0,0,0,0
2024-10-14,84000,,,84000,0,0,0,0
2024-10-15,84000,,,84000,0,0,0,0
2024-10-16,84000,,,84000,0,0,0,0
2024-10-17,84000,,,84000,0,0,0,0
2024-10-18,84000,,,84000,0,0,0,0
2024-10-21,84000,,,84000,0,0,0,0
2024-10-22,84000,,,84000,0,0,0,0
2024-10-24,84000,,,84000,0,0,0,0
2024-10-25,84000,,,84000,0,0,0,0
2024-10-28,84000,,,84000,0,0,0,0
2024-10-29,84000,,,84000,0,0,0,0
2024-10-30,84000,,,84000,0,0,0,0
2024-10-31,84000,,,84000,0,0,0,0
2024-11-01,84000,,,84000,0,0,0,0
2024-11-04,84000,,,84000,0,0,0,0
2024-11-05,84000,,,84000,0,0,0,0
2024-11-06,84000,,,84000,0,0,0,0
2024-11-07,84000,,,84000,0,0,0,0
2024-11-08,84000,,,84000,0,0,0,0
,84000,,,84000,0,0,0,0
