Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"14.800,00","14.800,00","14.800,00","14.800,00",68,12,177.600,177.600
2024-04-11,"15.100,00","15.100,00","15.100,00","15.100,00",203,2,30.200,30.200
2024-05-11,"15.100,00","15.100,00","15.100,00","15.100,00",0,11,166.100,166.100
2024-06-11,"15.100,00",,,"15.100,00",0,0,0,0
2024-07-11,"15.098,00","15.098,00","15.098,00","15.098,00",-1,17,256.666,256.666
2024-08-11,"15.096,00","15.096,00","15.096,00","15.096,00",-1,9,135.864,135.864
2024-10-10,"14.800,00","14.800,00","14.800,00","14.800,00",0,3,44.400,44.400
2024-10-14,"14.500,00","14.800,00","14.500,00","14.544,08",-173,168,2.443.405,2.443.405
2024-10-15,"14.790,00","14.790,00","14.790,00","14.790,00",169,3,44.370,44.370
2024-10-16,"14.700,00","14.790,00","14.700,00","14.748,89",-28,18,265.480,265.480
2024-10-17,"14.700,00","14.800,00","14.700,00","14.720,00",-20,5,73.600,73.600
2024-10-18,"14.700,00",,,"14.720,00",0,0,0,0
2024-10-21,"14.500,00","14.500,00","14.500,00","14.500,00",-149,1,14.500,14.500
2024-10-22,"14.500,00",,,"14.500,00",0,0,0,0
2024-10-24,"14.700,00","14.700,00","14.700,00","14.700,00",138,40,588.000,588.000
2024-10-25,"14.700,00","14.700,00","14.601,00","14.659,28",-28,141,2.066.958,2.066.958
2024-10-28,"14.700,00","14.700,00","14.700,00","14.700,00",28,34,499.800,499.800
2024-10-29,"14.700,00",,,"14.700,00",0,0,0,0
2024-10-30,"14.700,00","14.701,00","14.700,00","14.700,65",0,31,455.720,455.720
2024-10-31,"14.700,00","14.700,00","14.700,00","14.700,00",0,21,308.700,308.700
2024-11-01,"14.800,00","14.800,00","14.800,00","14.800,00",68,12,177.600,177.600
2024-11-04,"15.100,00","15.100,00","15.100,00","15.100,00",203,2,30.200,30.200
2024-11-05,"15.100,00","15.100,00","15.100,00","15.100,00",0,11,166.100,166.100
2024-11-06,"15.100,00",,,"15.100,00",0,0,0,0
2024-11-07,"15.098,00","15.098,00","15.098,00","15.098,00",-1,17,256.666,256.666
2024-11-08,"15.096,00","15.096,00","15.096,00","15.096,00",-1,9,135.864,135.864
,"14.500,00","14.800,00","14.500,00","14.544,08",-173,168,2.443.405,2.443.405
