Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,80000,,,80000,0,0,0,0
2024-04-11,80000,,,80000,0,0,0,0
2024-05-11,80000,,,80000,0,0,0,0
2024-06-11,80000,,,80000,0,0,0,0
2024-07-11,80000,,,80000,0,0,0,0
2024-08-11,80000,,,80000,0,0,0,0
2024-10-10,80000,,,80000,0,0,0,0
2024-10-14,80000,,,80000,0,0,0,0
2024-10-15,80000,,,80000,0,0,0,0
2024-10-16,80000,,,80000,0,0,0,0
2024-10-17,80000,,,80000,0,0,0,0
2024-10-18,80000,,,80000,0,0,0,0
2024-10-21,80000,,,80000,0,0,0,0
2024-10-22,80000,,,80000,0,0,0,0
2024-10-24,80000,,,80000,0,0,0,0
2024-10-25,80000,,,80000,0,0,0,0
2024-10-28,80000,,,80000,0,0,0,0
2024-10-29,80000,,,80000,0,0,0,0
2024-10-30,80000,,,80000,0,0,0,0
2024-10-31,80000,,,80000,0,0,0,0
2024-11-01,80000,,,80000,0,0,0,0
2024-11-04,80000,,,80000,0,0,0,0
2024-11-05,80000,,,80000,0,0,0,0
2024-11-06,80000,,,80000,0,0,0,0
2024-11-07,80000,,,80000,0,0,0,0
2024-11-08,80000,,,80000,0,0,0,0
,80000,,,80000,0,0,0,0
