Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,5000,,,5000,0,0,0,0
2024-04-11,5000,,,5000,0,0,0,0
2024-05-11,5000,,,5000,0,0,0,0
2024-06-11,5000,,,5000,0,0,0,0
2024-07-11,5000,,,5000,0,0,0,0
2024-08-11,5000,,,5000,0,0,0,0
2024-10-10,5000,,,5000,0,0,0,0
2024-10-14,5000,,,5000,0,0,0,0
2024-10-15,5000,,,5000,0,0,0,0
2024-10-16,5000,,,5000,0,0,0,0
2024-10-17,5000,,,5000,0,0,0,0
2024-10-18,5000,,,5000,0,0,0,0
2024-10-21,5000,,,5000,0,0,0,0
2024-10-22,5000,,,5000,0,0,0,0
2024-10-24,5000,,,5000,0,0,0,0
2024-10-25,5000,,,5000,0,0,0,0
2024-10-28,5000,,,5000,0,0,0,0
2024-10-29,5000,,,5000,0,0,0,0
2024-10-30,5000,,,5000,0,0,0,0
2024-10-31,5000,,,5000,0,0,0,0
2024-11-01,5000,,,5000,0,0,0,0
2024-11-04,5000,,,5000,0,0,0,0
2024-11-05,5000,,,5000,0,0,0,0
2024-11-06,5000,,,5000,0,0,0,0
2024-11-07,5000,,,5000,0,0,0,0
2024-11-08,5000,,,5000,0,0,0,0
,5000,,,5000,0,0,0,0
