Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,400,,,400,0,0,0,0
2024-04-11,400,,,400,0,0,0,0
2024-05-11,400,,,400,0,0,0,0
2024-06-11,400,,,400,0,0,0,0
2024-07-11,400,,,400,0,0,0,0
2024-08-11,400,,,400,0,0,0,0
2024-10-10,400,,,400,0,0,0,0
2024-10-14,400,,,400,0,0,0,0
2024-10-15,400,,,400,0,0,0,0
2024-10-16,400,,,400,0,0,0,0
2024-10-17,400,,,400,0,0,0,0
2024-10-18,400,,,400,0,0,0,0
2024-10-21,400,,,400,0,0,0,0
2024-10-22,400,,,400,0,0,0,0
2024-10-24,400,,,400,0,0,0,0
2024-10-25,400,,,400,0,0,0,0
2024-10-28,400,,,400,0,0,0,0
2024-10-29,400,,,400,0,0,0,0
2024-10-30,400,,,400,0,0,0,0
2024-10-31,400,,,400,0,0,0,0
2024-11-01,400,,,400,0,0,0,0
2024-11-04,400,,,400,0,0,0,0
2024-11-05,400,,,400,0,0,0,0
2024-11-06,400,,,400,0,0,0,0
2024-11-07,400,,,400,0,0,0,0
2024-11-08,400,,,400,0,0,0,0
,400,,,400,0,0,0,0
