Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,1600,,,1600,0,0.0,0.0,0.0
2024-04-11,1600,,,1600,0,0.0,0.0,0.0
2024-05-11,1600,,,1600,0,0.0,0.0,0.0
2024-06-11,1600,,,1600,0,0.0,0.0,0.0
2024-07-11,1600,,,1600,0,0.0,0.0,0.0
2024-08-11,1600,,,1600,0,0.0,0.0,0.0
2024-10-10,1600,,,1600,0,0.0,0.0,0.0
2024-10-14,1600,1600.0,1600.0,1600,0,2.7,43.2,43.2
2024-10-15,1600,,,1600,0,0.0,0.0,0.0
2024-10-16,1600,,,1600,0,0.0,0.0,0.0
2024-10-17,1600,,,1600,0,0.0,0.0,0.0
2024-10-18,1600,,,1600,0,0.0,0.0,0.0
2024-10-21,1600,,,1600,0,0.0,0.0,0.0
2024-10-22,1600,,,1600,0,0.0,0.0,0.0
2024-10-24,1600,,,1600,0,0.0,0.0,0.0
2024-10-25,1600,,,1600,0,0.0,0.0,0.0
2024-10-28,1600,,,1600,0,0.0,0.0,0.0
2024-10-29,1600,,,1600,0,0.0,0.0,0.0
2024-10-30,1600,,,1600,0,0.0,0.0,0.0
2024-10-31,1600,,,1600,0,0.0,0.0,0.0
2024-11-01,1600,,,1600,0,0.0,0.0,0.0
2024-11-04,1600,,,1600,0,0.0,0.0,0.0
2024-11-05,1600,,,1600,0,0.0,0.0,0.0
2024-11-06,1600,,,1600,0,0.0,0.0,0.0
2024-11-07,1600,,,1600,0,0.0,0.0,0.0
2024-11-08,1600,,,1600,0,0.0,0.0,0.0
,1600,1600.0,1600.0,1600,0,2.7,43.2,43.2
