Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,57700,,,57700,0,0,0.0,0.0
2024-04-11,57700,,,57700,0,0,0.0,0.0
2024-05-11,57700,,,57700,0,0,0.0,0.0
2024-06-11,57700,,,57700,0,0,0.0,0.0
2024-07-11,57700,,,57700,0,0,0.0,0.0
2024-08-11,57700,,,57700,0,0,0.0,0.0
2024-10-10,50000,,,50000,0,0,0.0,0.0
2024-10-14,50000,,,50000,0,0,0.0,0.0
2024-10-15,50000,,,50000,0,0,0.0,0.0
2024-10-16,50000,,,50000,0,0,0.0,0.0
2024-10-17,50000,,,50000,0,0,0.0,0.0
2024-10-18,57700,57700.0,57700.0,57700,1540,135,77.895,77.895
2024-10-21,57700,,,57700,0,0,0.0,0.0
2024-10-22,57700,,,57700,0,0,0.0,0.0
2024-10-24,57700,,,57700,0,0,0.0,0.0
2024-10-25,57700,,,57700,0,0,0.0,0.0
2024-10-28,57700,,,57700,0,0,0.0,0.0
2024-10-29,57700,,,57700,0,0,0.0,0.0
2024-10-30,57700,,,57700,0,0,0.0,0.0
2024-10-31,57700,,,57700,0,0,0.0,0.0
2024-11-01,57700,,,57700,0,0,0.0,0.0
2024-11-04,57700,,,57700,0,0,0.0,0.0
2024-11-05,57700,,,57700,0,0,0.0,0.0
2024-11-06,57700,,,57700,0,0,0.0,0.0
2024-11-07,57700,,,57700,0,0,0.0,0.0
2024-11-08,57700,,,57700,0,0,0.0,0.0
,50000,,,50000,0,0,0.0,0.0
