Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,4500,,,4500,0,0.0,0.0,0.0
2024-04-11,4500,4500.0,4500.0,4500,0,200.0,9.0,9.0
2024-05-11,4500,,,4500,0,0.0,0.0,0.0
2024-06-11,4500,,,4500,0,0.0,0.0,0.0
2024-07-11,4500,,,4500,0,0.0,0.0,0.0
2024-08-11,4500,4500.0,4500.0,4500,0,1.0,45.0,45.0
2024-10-10,4500,,,4500,0,0.0,0.0,0.0
2024-10-14,4500,,,4500,0,0.0,0.0,0.0
2024-10-15,4500,,,4500,0,0.0,0.0,0.0
2024-10-16,4500,,,4500,0,0.0,0.0,0.0
2024-10-17,4500,,,4500,0,0.0,0.0,0.0
2024-10-18,4500,,,4500,0,0.0,0.0,0.0
2024-10-21,4500,,,4500,0,0.0,0.0,0.0
2024-10-22,4500,,,4500,0,0.0,0.0,0.0
2024-10-24,4500,,,4500,0,0.0,0.0,0.0
2024-10-25,4500,,,4500,0,0.0,0.0,0.0
2024-10-28,4500,,,4500,0,0.0,0.0,0.0
2024-10-29,4500,,,4500,0,0.0,0.0,0.0
2024-10-30,4500,,,4500,0,0.0,0.0,0.0
2024-10-31,4500,,,4500,0,0.0,0.0,0.0
2024-11-01,4500,,,4500,0,0.0,0.0,0.0
2024-11-04,4500,4500.0,4500.0,4500,0,200.0,9.0,9.0
2024-11-05,4500,,,4500,0,0.0,0.0,0.0
2024-11-06,4500,,,4500,0,0.0,0.0,0.0
2024-11-07,4500,,,4500,0,0.0,0.0,0.0
2024-11-08,4500,4500.0,4500.0,4500,0,1.0,45.0,45.0
,4500,,,4500,0,0.0,0.0,0.0
