Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"3.300,00",,,"3.300,00",0,0,0,0
2024-04-11,"3.300,00",,,"3.300,00",0,0,0,0
2024-05-11,"3.300,00",,,"3.300,00",0,0,0,0
2024-06-11,"3.300,00",,,"3.300,00",0,0,0,0
2024-07-11,"3.300,00",,,"3.300,00",0,0,0,0
2024-08-11,"3.300,00",,,"3.300,00",0,0,0,0
2024-10-10,"3.250,00","3.250,00","3.220,00","3.249,45",152,219,711.630,29.895.930
2024-10-14,"3.200,00","3.200,00","3.200,00","3.200,00",-152,540,1.728.000,1.728.000
2024-10-15,"3.200,00",,,"3.200,00",0,0,0,48.136.760
2024-10-16,"3.200,00","3.200,00","3.200,00","3.200,00",0,504,1.612.800,1.612.800
2024-10-17,"3.200,00",,,"3.200,00",0,0,0,0
2024-10-18,"3.200,00","3.200,00","3.200,00","3.200,00",0,111,355.200,355.200
2024-10-21,"3.200,00",,,"3.200,00",0,0,0,0
2024-10-22,"3.200,00","3.200,00","3.200,00","3.200,00",0,90,288.000,288.000
2024-10-24,"3.200,00","3.200,00","3.200,00","3.200,00",0,150,480.000,480.000
2024-10-25,"3.200,00",,,"3.200,00",0,0,0,0
2024-10-28,"3.300,00","3.300,00","3.250,00","3.251,03",159,242,786.750,41.300.850
2024-10-29,"3.300,00",,,"3.251,03",0,0,0,0
2024-10-30,"3.300,00",,,"3.251,03",0,0,0,0
2024-10-31,"3.300,00","3.300,00","3.300,00","3.300,00",151,836,2.758.800,2.758.800
2024-11-01,"3.300,00",,,"3.300,00",0,0,0,0
2024-11-04,"3.300,00",,,"3.300,00",0,0,0,0
2024-11-05,"3.300,00",,,"3.300,00",0,0,0,0
2024-11-06,"3.300,00",,,"3.300,00",0,0,0,0
2024-11-07,"3.300,00",,,"3.300,00",0,0,0,0
2024-11-08,"3.300,00",,,"3.300,00",0,0,0,0
,"3.200,00","3.200,00","3.200,00","3.200,00",-152,540,1.728.000,1.728.000
