Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,3000,,,3000,0,0,0,0
2024-04-11,3000,,,3000,0,0,0,0
2024-05-11,3000,,,3000,0,0,0,0
2024-06-11,3000,,,3000,0,0,0,0
2024-07-11,3000,,,3000,0,0,0,0
2024-08-11,3000,,,3000,0,0,0,0
2024-10-10,3000,,,3000,0,0,0,0
2024-10-14,3000,,,3000,0,0,0,0
2024-10-15,3000,,,3000,0,0,0,0
2024-10-16,3000,,,3000,0,0,0,0
2024-10-17,3000,,,3000,0,0,0,0
2024-10-18,3000,,,3000,0,0,0,0
2024-10-21,3000,,,3000,0,0,0,0
2024-10-22,3000,,,3000,0,0,0,0
2024-10-24,3000,,,3000,0,0,0,0
2024-10-25,3000,,,3000,0,0,0,0
2024-10-28,3000,,,3000,0,0,0,0
2024-10-29,3000,,,3000,0,0,0,0
2024-10-30,3000,,,3000,0,0,0,0
2024-10-31,3000,,,3000,0,0,0,0
2024-11-01,3000,,,3000,0,0,0,0
2024-11-04,3000,,,3000,0,0,0,0
2024-11-05,3000,,,3000,0,0,0,0
2024-11-06,3000,,,3000,0,0,0,0
2024-11-07,3000,,,3000,0,0,0,0
2024-11-08,3000,,,3000,0,0,0,0
,3000,,,3000,0,0,0,0
