Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,7000,,,7000,0,0,0,0
2024-04-11,7000,,,7000,0,0,0,0
2024-05-11,7000,,,7000,0,0,0,0
2024-06-11,7000,,,7000,0,0,0,0
2024-07-11,7000,,,7000,0,0,0,0
2024-08-11,7000,,,7000,0,0,0,0
2024-10-10,7000,,,7000,0,0,0,0
2024-10-14,7000,,,7000,0,0,0,0
2024-10-15,7000,,,7000,0,0,0,0
2024-10-16,7000,,,7000,0,0,0,0
2024-10-17,7000,,,7000,0,0,0,0
2024-10-18,7000,,,7000,0,0,0,0
2024-10-21,7000,,,7000,0,0,0,0
2024-10-22,7000,,,7000,0,0,0,0
2024-10-24,7000,,,7000,0,0,0,0
2024-10-25,7000,,,7000,0,0,0,0
2024-10-28,7000,,,7000,0,0,0,0
2024-10-29,7000,,,7000,0,0,0,0
2024-10-30,7000,,,7000,0,0,0,0
2024-10-31,7000,,,7000,0,0,0,0
2024-11-01,7000,,,7000,0,0,0,0
2024-11-04,7000,,,7000,0,0,0,0
2024-11-05,7000,,,7000,0,0,0,0
2024-11-06,7000,,,7000,0,0,0,0
2024-11-07,7000,,,7000,0,0,0,0
2024-11-08,7000,,,7000,0,0,0,0
,7000,,,7000,0,0,0,0
