Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"65.105,00",,,"65.105,00",0,0,0,0
2024-04-11,"65.105,00",,,"65.105,00",0,0,0,0
2024-05-11,"65.105,00",,,"65.105,00",0,0,0,0
2024-06-11,"65.105,00",,,"65.105,00",0,0,0,0
2024-07-11,"65.105,00",,,"65.105,00",0,0,0,0
2024-08-11,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-10,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-14,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-15,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-16,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-17,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-18,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-21,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-22,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-24,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-25,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-28,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-29,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-30,"65.105,00",,,"65.105,00",0,0,0,0
2024-10-31,"65.105,00",,,"65.105,00",0,0,0,0
2024-11-01,"65.105,00",,,"65.105,00",0,0,0,0
2024-11-04,"65.105,00",,,"65.105,00",0,0,0,0
2024-11-05,"65.105,00",,,"65.105,00",0,0,0,0
2024-11-06,"65.105,00",,,"65.105,00",0,0,0,0
2024-11-07,"65.105,00",,,"65.105,00",0,0,0,0
2024-11-08,"65.105,00",,,"65.105,00",0,0,0,0
,"65.105,00",,,"65.105,00",0,0,0,0
