Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,9000,,,9000,0,0,0,0
2024-04-11,9000,,,9000,0,0,0,0
2024-05-11,9000,,,9000,0,0,0,0
2024-06-11,9000,,,9000,0,0,0,0
2024-07-11,9000,,,9000,0,0,0,0
2024-08-11,9000,,,9000,0,0,0,0
2024-10-10,9000,,,9000,0,0,0,0
2024-10-14,9000,,,9000,0,0,0,0
2024-10-15,9000,,,9000,0,0,0,0
2024-10-16,9000,,,9000,0,0,0,0
2024-10-17,9000,,,9000,0,0,0,0
2024-10-18,9000,,,9000,0,0,0,0
2024-10-21,9000,,,9000,0,0,0,0
2024-10-22,9000,,,9000,0,0,0,0
2024-10-24,9000,,,9000,0,0,0,0
2024-10-25,9000,,,9000,0,0,0,0
2024-10-28,9000,,,9000,0,0,0,0
2024-10-29,9000,,,9000,0,0,0,0
2024-10-30,9000,,,9000,0,0,0,0
2024-10-31,9000,,,9000,0,0,0,0
2024-11-01,9000,,,9000,0,0,0,0
2024-11-04,9000,,,9000,0,0,0,0
2024-11-05,9000,,,9000,0,0,0,0
2024-11-06,9000,,,9000,0,0,0,0
2024-11-07,9000,,,9000,0,0,0,0
2024-11-08,9000,,,9000,0,0,0,0
,9000,,,9000,0,0,0,0
