Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"24.752,00",,,"24.752,00",0,0,0,0
2024-04-11,"24.752,00",,,"24.752,00",0,0,0,0
2024-05-11,"24.752,00",,,"24.752,00",0,0,0,0
2024-06-11,"24.752,00",,,"24.752,00",0,0,0,0
2024-07-11,"24.752,00",,,"24.752,00",0,0,0,0
2024-08-11,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-10,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-14,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-15,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-16,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-17,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-18,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-21,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-22,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-24,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-25,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-28,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-29,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-30,"24.752,00",,,"24.752,00",0,0,0,0
2024-10-31,"24.752,00",,,"24.752,00",0,0,0,0
2024-11-01,"24.752,00",,,"24.752,00",0,0,0,0
2024-11-04,"24.752,00",,,"24.752,00",0,0,0,0
2024-11-05,"24.752,00",,,"24.752,00",0,0,0,0
2024-11-06,"24.752,00",,,"24.752,00",0,0,0,0
2024-11-07,"24.752,00",,,"24.752,00",0,0,0,0
2024-11-08,"24.752,00",,,"24.752,00",0,0,0,0
,"24.752,00",,,"24.752,00",0,0,0,0
