Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,30900,,,30900,0,0,0,0
2024-04-11,30900,,,30900,0,0,0,0
2024-05-11,30900,,,30900,0,0,0,0
2024-06-11,30900,,,30900,0,0,0,0
2024-07-11,30900,,,30900,0,0,0,0
2024-08-11,30900,,,30900,0,0,0,0
2024-10-10,30900,,,30900,0,0,0,0
2024-10-14,30900,,,30900,0,0,0,0
2024-10-15,30900,,,30900,0,0,0,0
2024-10-16,30900,,,30900,0,0,0,0
2024-10-17,30900,,,30900,0,0,0,0
2024-10-18,30900,,,30900,0,0,0,0
2024-10-21,30900,,,30900,0,0,0,0
2024-10-22,30900,,,30900,0,0,0,0
2024-10-24,30900,,,30900,0,0,0,0
2024-10-25,30900,,,30900,0,0,0,0
2024-10-28,30900,,,30900,0,0,0,0
2024-10-29,30900,,,30900,0,0,0,0
2024-10-30,30900,,,30900,0,0,0,0
2024-10-31,30900,,,30900,0,0,0,0
2024-11-01,30900,,,30900,0,0,0,0
2024-11-04,30900,,,30900,0,0,0,0
2024-11-05,30900,,,30900,0,0,0,0
2024-11-06,30900,,,30900,0,0,0,0
2024-11-07,30900,,,30900,0,0,0,0
2024-11-08,30900,,,30900,0,0,0,0
,30900,,,30900,0,0,0,0
