Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"7.000,00",,,"7.000,00",0,0,0,0
2024-04-11,"7.000,00",,,"7.000,00",0,0,0,0
2024-05-11,"7.000,00",,,"7.000,00",0,0,0,0
2024-06-11,"7.000,00",,,"7.000,00",0,0,0,0
2024-07-11,"7.000,00",,,"7.000,00",0,0,0,0
2024-08-11,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-10,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-14,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-15,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-16,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-17,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-18,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-21,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-22,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-24,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-25,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-28,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-29,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-30,"7.000,00",,,"7.000,00",0,0,0,0
2024-10-31,"7.000,00",,,"7.000,00",0,0,0,0
2024-11-01,"7.000,00",,,"7.000,00",0,0,0,0
2024-11-04,"7.000,00",,,"7.000,00",0,0,0,0
2024-11-05,"7.000,00",,,"7.000,00",0,0,0,0
2024-11-06,"7.000,00",,,"7.000,00",0,0,0,0
2024-11-07,"7.000,00",,,"7.000,00",0,0,0,0
2024-11-08,"7.000,00",,,"7.000,00",0,0,0,0
,"7.000,00",,,"7.000,00",0,0,0,0
