Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,36000,,,36000,0,0,0,0
2024-04-11,36000,,,36000,0,0,0,0
2024-05-11,36000,,,36000,0,0,0,0
2024-06-11,36000,,,36000,0,0,0,0
2024-07-11,36000,,,36000,0,0,0,0
2024-08-11,36000,,,36000,0,0,0,0
2024-10-10,36000,,,36000,0,0,0,0
2024-10-14,36000,,,36000,0,0,0,0
2024-10-15,36000,,,36000,0,0,0,0
2024-10-16,36000,,,36000,0,0,0,0
2024-10-17,36000,,,36000,0,0,0,0
2024-10-18,36000,,,36000,0,0,0,0
2024-10-21,36000,,,36000,0,0,0,0
2024-10-22,36000,,,36000,0,0,0,0
2024-10-24,36000,,,36000,0,0,0,0
2024-10-25,36000,,,36000,0,0,0,0
2024-10-28,36000,,,36000,0,0,0,0
2024-10-29,36000,,,36000,0,0,0,0
2024-10-30,36000,,,36000,0,0,0,0
2024-10-31,36000,,,36000,0,0,0,0
2024-11-01,36000,,,36000,0,0,0,0
2024-11-04,36000,,,36000,0,0,0,0
2024-11-05,36000,,,36000,0,0,0,0
2024-11-06,36000,,,36000,0,0,0,0
2024-11-07,36000,,,36000,0,0,0,0
2024-11-08,36000,,,36000,0,0,0,0
,36000,,,36000,0,0,0,0
