Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,65000,65000.0,65000.0,65000,-1447,43,27.95,27.95
2024-04-11,65000,,,65000,0,0,0.0,0.0
2024-05-11,65000,,,65000,0,0,0.0,0.0
2024-06-11,65000,,,65000,0,0,0.0,0.0
2024-07-11,65000,,,65000,0,0,0.0,0.0
2024-08-11,65000,,,65000,0,0,0.0,0.0
2024-10-10,76000,,,76000,0,0,0.0,0.0
2024-10-14,76000,,,76000,0,0,0.0,0.0
2024-10-15,76000,,,76000,0,0,0.0,0.0
2024-10-16,76000,,,76000,0,0,0.0,0.0
2024-10-17,76000,,,76000,0,0,0.0,0.0
2024-10-18,76000,,,76000,0,0,0.0,0.0
2024-10-21,76000,,,76000,0,0,0.0,0.0
2024-10-22,76000,,,76000,0,0,0.0,0.0
2024-10-24,76000,,,76000,0,0,0.0,0.0
2024-10-25,76000,,,76000,0,0,0.0,0.0
2024-10-28,76000,,,76000,0,0,0.0,0.0
2024-10-29,76000,,,76000,0,0,0.0,0.0
2024-10-30,76000,,,76000,0,0,0.0,0.0
2024-10-31,76000,,,76000,0,0,0.0,0.0
2024-11-01,65000,65000.0,65000.0,65000,-1447,43,27.95,27.95
2024-11-04,65000,,,65000,0,0,0.0,0.0
2024-11-05,65000,,,65000,0,0,0.0,0.0
2024-11-06,65000,,,65000,0,0,0.0,0.0
2024-11-07,65000,,,65000,0,0,0.0,0.0
2024-11-08,65000,,,65000,0,0,0.0,0.0
,76000,,,76000,0,0,0.0,0.0
