Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"1.997,00","1.997,00","1.997,00","1.997,00",202,138.0,275.586,275.586
2024-04-11,"1.997,00","1.997,00","1.997,00","1.997,00",0,27.0,53.919,53.919
2024-05-11,"1.969,00","1.969,00","1.969,00","1.969,00",-140,25.0,49.225,49.225
2024-06-11,"1.975,00","1.990,00","1.970,00","1.974,75",29,295.0,582.550,582.550
2024-07-11,"1.967,00","1.975,00","1.967,00","1.969,28",-28,642.0,1.264.276,1.264.276
2024-08-11,"1.964,00","1.964,00","1.964,00","1.964,00",-27,155.0,304.420,304.420
2024-10-10,"1.950,00",,,"1.950,00",0,0.0,0,0
2024-10-14,"1.950,00",,,"1.950,00",0,0.0,0,0
2024-10-15,"1.950,00","1.950,00","1.950,00","1.950,00",0,560.0,1.092.000,1.092.000
2024-10-16,"1.920,00","1.950,00","1.899,00","1.926,71",-119,112.0,215.792,215.792
2024-10-17,"1.920,00",,,"1.926,71",0,0.0,0,0
2024-10-18,"1.948,00","1.948,00","1.948,00","1.948,00",110,5.0,9.740,9.740
2024-10-21,"1.920,00","1.920,00","1.920,00","1.920,00",-144,65.0,124.800,124.800
2024-10-22,"1.920,00","1.920,00","1.920,00","1.920,00",0,300.0,576.000,576.000
2024-10-24,"1.920,00",,,"1.920,00",0,0.0,0,0
2024-10-25,"1.900,00","1.919,00","1.900,00","1.913,26",-35,43.0,82.270,82.270
2024-10-28,"1.920,00","1.920,00","1.920,00","1.920,00",35,115.0,220.800,220.800
2024-10-29,"1.920,00",,,"1.920,00",0,0.0,0,0
2024-10-30,"1.938,00","1.949,00","1.920,00","1.938,29",95,434.0,841.220,841.220
2024-10-31,"1.960,00","1.960,00","1.950,00","1.957,51",99,1.065,2.084.750,2.084.750
2024-11-01,"1.997,00","1.997,00","1.997,00","1.997,00",202,138.0,275.586,275.586
2024-11-04,"1.997,00","1.997,00","1.997,00","1.997,00",0,27.0,53.919,53.919
2024-11-05,"1.969,00","1.969,00","1.969,00","1.969,00",-140,25.0,49.225,49.225
2024-11-06,"1.975,00","1.990,00","1.970,00","1.974,75",29,295.0,582.550,582.550
2024-11-07,"1.967,00","1.975,00","1.967,00","1.969,28",-28,642.0,1.264.276,1.264.276
2024-11-08,"1.964,00","1.964,00","1.964,00","1.964,00",-27,155.0,304.420,304.420
,"1.950,00",,,"1.950,00",0,0.0,0,0
