Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,13500,13500.0,13500.0,13500,0,850.0,114.75,114.75
2024-04-11,13500,,,13500,0,0.0,0.0,0.0
2024-05-11,13500,,,13500,0,0.0,0.0,0.0
2024-06-11,13200,13300.0,13200.0,13266,-173,623.0,82.646,82.646
2024-07-11,13500,13500.0,13500.0,13500,176,988.0,133.38,133.38
2024-08-11,13500,13500.0,13500.0,13500,0,678.0,91.53,91.53
2024-10-10,13500,,,13564,0,0.0,0.0,0.0
2024-10-14,13500,,,13564,0,0.0,0.0,0.0
2024-10-15,13500,,,13564,0,0.0,0.0,0.0
2024-10-16,13500,,,13564,0,0.0,0.0,0.0
2024-10-17,13500,13500.0,13500.0,13500,-47,1.0,135.0,135.0
2024-10-18,13500,,,13500,0,0.0,0.0,0.0
2024-10-21,13500,,,13500,0,0.0,0.0,0.0
2024-10-22,13300,13300.0,13300.0,13300,-148,90.0,11.97,11.97
2024-10-24,13500,13500.0,13500.0,13500,150,950.0,128.25,128.25
2024-10-25,13500,13500.0,13500.0,13500,0,2.513,339.255,339.255
2024-10-28,13500,,,13500,0,0.0,0.0,0.0
2024-10-29,13500,13500.0,13500.0,13500,0,927.0,125.145,125.145
2024-10-30,13500,,,13500,0,0.0,0.0,0.0
2024-10-31,13500,,,13500,0,0.0,0.0,0.0
2024-11-01,13500,13500.0,13500.0,13500,0,850.0,114.75,114.75
2024-11-04,13500,,,13500,0,0.0,0.0,0.0
2024-11-05,13500,,,13500,0,0.0,0.0,0.0
2024-11-06,13200,13300.0,13200.0,13266,-173,623.0,82.646,82.646
2024-11-07,13500,13500.0,13500.0,13500,176,988.0,133.38,133.38
2024-11-08,13500,13500.0,13500.0,13500,0,678.0,91.53,91.53
,13500,,,13564,0,0.0,0.0,0.0
