Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,97000,,,97000,0,0,0,0
2024-04-11,97000,,,97000,0,0,0,0
2024-05-11,97000,,,97000,0,0,0,0
2024-06-11,97000,,,97000,0,0,0,0
2024-07-11,97000,,,97000,0,0,0,0
2024-08-11,97000,,,97000,0,0,0,0
2024-10-10,97000,,,97000,0,0,0,0
2024-10-14,97000,,,97000,0,0,0,0
2024-10-15,97000,,,97000,0,0,0,0
2024-10-16,97000,,,97000,0,0,0,0
2024-10-17,97000,,,97000,0,0,0,0
2024-10-18,97000,,,97000,0,0,0,0
2024-10-21,97000,,,97000,0,0,0,0
2024-10-22,97000,,,97000,0,0,0,0
2024-10-24,97000,,,97000,0,0,0,0
2024-10-25,97000,,,97000,0,0,0,0
2024-10-28,97000,,,97000,0,0,0,0
2024-10-29,97000,,,97000,0,0,0,0
2024-10-30,97000,,,97000,0,0,0,0
2024-10-31,97000,,,97000,0,0,0,0
2024-11-01,97000,,,97000,0,0,0,0
2024-11-04,97000,,,97000,0,0,0,0
2024-11-05,97000,,,97000,0,0,0,0
2024-11-06,97000,,,97000,0,0,0,0
2024-11-07,97000,,,97000,0,0,0,0
2024-11-08,97000,,,97000,0,0,0,0
,97000,,,97000,0,0,0,0
