Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"16.010,00",,,"16.010,00",0,0,0,0
2024-04-11,"16.010,00",,,"16.010,00",0,0,0,0
2024-05-11,"16.010,00",,,"16.010,00",0,0,0,0
2024-06-11,"16.010,00",,,"16.010,00",0,0,0,0
2024-07-11,"16.010,00",,,"16.010,00",0,0,0,0
2024-08-11,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-10,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-14,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-15,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-16,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-17,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-18,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-21,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-22,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-24,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-25,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-28,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-29,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-30,"16.010,00",,,"16.010,00",0,0,0,0
2024-10-31,"16.010,00",,,"16.010,00",0,0,0,0
2024-11-01,"16.010,00",,,"16.010,00",0,0,0,0
2024-11-04,"16.010,00",,,"16.010,00",0,0,0,0
2024-11-05,"16.010,00",,,"16.010,00",0,0,0,0
2024-11-06,"16.010,00",,,"16.010,00",0,0,0,0
2024-11-07,"16.010,00",,,"16.010,00",0,0,0,0
2024-11-08,"16.010,00",,,"16.010,00",0,0,0,0
,"16.010,00",,,"16.010,00",0,0,0,0
