Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,73000,,,73000,0,0,0,0
2024-04-11,73000,,,73000,0,0,0,0
2024-05-11,73000,,,73000,0,0,0,0
2024-06-11,73000,,,73000,0,0,0,0
2024-07-11,73000,,,73000,0,0,0,0
2024-08-11,73000,,,73000,0,0,0,0
2024-10-10,73000,,,73000,0,0,0,0
2024-10-14,73000,,,73000,0,0,0,0
2024-10-15,73000,,,73000,0,0,0,0
2024-10-16,73000,,,73000,0,0,0,0
2024-10-17,73000,,,73000,0,0,0,0
2024-10-18,73000,,,73000,0,0,0,0
2024-10-21,73000,,,73000,0,0,0,0
2024-10-22,73000,,,73000,0,0,0,0
2024-10-24,73000,,,73000,0,0,0,0
2024-10-25,73000,,,73000,0,0,0,0
2024-10-28,73000,,,73000,0,0,0,0
2024-10-29,73000,,,73000,0,0,0,0
2024-10-30,73000,,,73000,0,0,0,0
2024-10-31,73000,,,73000,0,0,0,0
2024-11-01,73000,,,73000,0,0,0,0
2024-11-04,73000,,,73000,0,0,0,0
2024-11-05,73000,,,73000,0,0,0,0
2024-11-06,73000,,,73000,0,0,0,0
2024-11-07,73000,,,73000,0,0,0,0
2024-11-08,73000,,,73000,0,0,0,0
,73000,,,73000,0,0,0,0
