Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,25000,,,25000,0,0,0,0
2024-04-11,25000,,,25000,0,0,0,0
2024-05-11,25000,,,25000,0,0,0,0
2024-06-11,25000,,,25000,0,0,0,0
2024-07-11,25000,,,25000,0,0,0,0
2024-08-11,25000,,,25000,0,0,0,0
2024-10-10,25000,,,25000,0,0,0,0
2024-10-14,25000,,,25000,0,0,0,0
2024-10-15,25000,,,25000,0,0,0,0
2024-10-16,25000,,,25000,0,0,0,0
2024-10-17,25000,,,25000,0,0,0,0
2024-10-18,25000,,,25000,0,0,0,0
2024-10-21,25000,,,25000,0,0,0,0
2024-10-22,25000,,,25000,0,0,0,0
2024-10-24,25000,,,25000,0,0,0,0
2024-10-25,25000,,,25000,0,0,0,0
2024-10-28,25000,,,25000,0,0,0,0
2024-10-29,25000,,,25000,0,0,0,0
2024-10-30,25000,,,25000,0,0,0,0
2024-10-31,25000,,,25000,0,0,0,0
2024-11-01,25000,,,25000,0,0,0,0
2024-11-04,25000,,,25000,0,0,0,0
2024-11-05,25000,,,25000,0,0,0,0
2024-11-06,25000,,,25000,0,0,0,0
2024-11-07,25000,,,25000,0,0,0,0
2024-11-08,25000,,,25000,0,0,0,0
,25000,,,25000,0,0,0,0
