Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"44.750,00","44.880,00","44.700,00","44.734,90",-35,51,2.281.480,2.281.480
2024-04-11,"44.750,00","44.880,00","44.700,00","44.727,80",-2,104,4.651.691,4.651.691
2024-05-11,"45.000,00","45.000,00","44.750,00","44.907,11",40,90,4.041.640,4.041.640
2024-06-11,"44.750,00","45.000,00","44.750,00","44.793,57",-25,23,1.030.252,1.030.252
2024-07-11,"45.000,00","45.000,00","45.000,00","45.000,00",46,42,1.890.000,1.890.000
2024-08-11,"45.000,00","45.000,00","45.000,00","45.000,00",0,20,900.000,900.000
2024-10-10,"44.999,00","44.999,00","44.890,00","44.935,56",75,27,1.213.260,1.213.260
2024-10-14,"44.995,00","45.000,00","44.990,00","44.997,44",14,27,1.214.931,1.214.931
2024-10-15,"44.998,00","44.998,00","44.998,00","44.998,00",0,13,584.974,584.974
2024-10-16,"44.999,00","44.999,00","44.998,00","44.998,80",0,5,224.994,224.994
2024-10-17,"44.999,00",,,"44.998,80",0,0,0,0
2024-10-18,"44.998,00","44.998,00","44.998,00","44.998,00",0,13,584.974,584.974
2024-10-21,"44.700,00","44.998,00","44.700,00","44.841,90",-35,21,941.680,941.680
2024-10-22,"44.700,00","44.700,00","44.700,00","44.700,00",-32,20,894.000,894.000
2024-10-24,"44.600,00","44.600,00","44.600,00","44.600,00",-22,15,669.000,669.000
2024-10-25,"44.700,00","44.700,00","44.700,00","44.700,00",22,9,402.300,402.300
2024-10-28,"44.994,00","44.997,00","44.550,00","44.954,46",57,63,2.832.131,2.832.131
2024-10-29,"44.551,00","44.995,00","44.551,00","44.592,30",-81,54,2.407.984,2.407.984
2024-10-30,"44.900,00","44.900,00","44.900,00","44.900,00",69,6,269.400,269.400
2024-10-31,"44.890,00","44.890,00","44.890,00","44.890,00",-2,23,1.032.470,1.032.470
2024-11-01,"44.750,00","44.880,00","44.700,00","44.734,90",-35,51,2.281.480,2.281.480
2024-11-04,"44.750,00","44.880,00","44.700,00","44.727,80",-2,104,4.651.691,4.651.691
2024-11-05,"45.000,00","45.000,00","44.750,00","44.907,11",40,90,4.041.640,4.041.640
2024-11-06,"44.750,00","45.000,00","44.750,00","44.793,57",-25,23,1.030.252,1.030.252
2024-11-07,"45.000,00","45.000,00","45.000,00","45.000,00",46,42,1.890.000,1.890.000
2024-11-08,"45.000,00","45.000,00","45.000,00","45.000,00",0,20,900.000,900.000
,"44.995,00","45.000,00","44.990,00","44.997,44",14,27,1.214.931,1.214.931
