Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"1.945,00",,,"1.945,00",0,0,0.0,0.0
2024-04-11,"1.945,00",,,"1.945,00",0,0,0.0,0.0
2024-05-11,"1.945,00",,,"1.945,00",0,0,0.0,0.0
2024-06-11,"1.945,00",,,"1.945,00",0,0,0.0,0.0
2024-07-11,"1.945,00",,,"1.945,00",0,0,0.0,0.0
2024-08-11,"1.950,00","1.950,00","1.950,00","1.950,00",26,175,341.25,341.25
2024-10-10,"1.850,00","1.850,00","1.850,00","1.850,00",-741,165,305.25,305.25
2024-10-14,"2.006,00","2.006,00","2.006,00","2.006,00",843,10,20.06,20.06
2024-10-15,"1.946,00","1.946,00","1.946,00","1.946,00",-299,300,583.8,583.8
2024-10-16,"1.900,00","1.946,00","1.900,00","1.937,64",-43,11,21.314,21.314
2024-10-17,"2.006,00","2.006,00","2.006,00","2.006,00",353,6,12.036,12.036
2024-10-18,"2.006,00","2.006,00","2.006,00","2.006,00",0,3,6.018,6.018
2024-10-21,"2.006,00",,,"2.006,00",0,0,0.0,0.0
2024-10-22,"2.006,00",,,"2.006,00",0,0,0.0,0.0
2024-10-24,"2.006,00",,,"2.006,00",0,0,0.0,0.0
2024-10-25,"2.006,00",,,"2.006,00",0,0,0.0,0.0
2024-10-28,"1.946,00","1.946,00","1.946,00","1.946,00",-299,110,214.06,214.06
2024-10-29,"1.946,00","1.946,00","1.946,00","1.946,00",0,91,177.086,177.086
2024-10-30,"1.945,00","1.945,00","1.945,00","1.945,00",-5,125,243.125,243.125
2024-10-31,"1.945,00",,,"1.945,00",0,0,0.0,0.0
2024-11-01,"1.945,00",,,"1.945,00",0,0,0.0,0.0
2024-11-04,"1.945,00",,,"1.945,00",0,0,0.0,0.0
2024-11-05,"1.945,00",,,"1.945,00",0,0,0.0,0.0
2024-11-06,"1.945,00",,,"1.945,00",0,0,0.0,0.0
2024-11-07,"1.945,00",,,"1.945,00",0,0,0.0,0.0
2024-11-08,"1.950,00","1.950,00","1.950,00","1.950,00",26,175,341.25,341.25
,"2.006,00","2.006,00","2.006,00","2.006,00",843,10,20.06,20.06
