Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"7.284,00","7.284,00","7.284,00","7.284,00",259,7,50.988,50.988
2024-04-11,"7.285,00","7.285,00","7.100,00","7.137,00",-202,10,71.370,71.370
2024-05-11,"7.200,00","7.200,00","7.200,00","7.200,00",88,10,72.000,72.000
2024-06-11,"7.200,00",,,"7.200,00",0,0,0,0
2024-07-11,"7.200,00",,,"7.200,00",0,0,0,0
2024-08-11,"7.200,00",,,"7.200,00",0,0,0,0
2024-10-10,"7.289,00",,,"7.289,00",0,0,0,0
2024-10-14,"7.289,00",,,"7.289,00",0,0,0,0
2024-10-15,"7.200,00","7.200,00","7.200,00","7.200,00",-122,685,4.932.000,4.932.000
2024-10-16,"7.200,00","7.200,00","7.200,00","7.200,00",0,130,936.000,936.000
2024-10-17,"7.200,00","7.200,00","7.200,00","7.200,00",0,11,79.200,79.200
2024-10-18,"7.200,00",,,"7.200,00",0,0,0,0
2024-10-21,"7.100,00","7.100,00","7.100,00","7.100,00",-139,20,142.000,142.000
2024-10-22,"7.100,00",,,"7.100,00",0,0,0,0
2024-10-24,"7.100,00",,,"7.100,00",0,0,0,0
2024-10-25,"7.100,00",,,"7.100,00",0,0,0,0
2024-10-28,"7.100,00",,,"7.100,00",0,0,0,0
2024-10-29,"7.100,00",,,"7.100,00",0,0,0,0
2024-10-30,"7.100,00",,,"7.100,00",0,0,0,0
2024-10-31,"7.100,00",,,"7.100,00",0,0,0,0
2024-11-01,"7.284,00","7.284,00","7.284,00","7.284,00",259,7,50.988,50.988
2024-11-04,"7.285,00","7.285,00","7.100,00","7.137,00",-202,10,71.370,71.370
2024-11-05,"7.200,00","7.200,00","7.200,00","7.200,00",88,10,72.000,72.000
2024-11-06,"7.200,00",,,"7.200,00",0,0,0,0
2024-11-07,"7.200,00",,,"7.200,00",0,0,0,0
2024-11-08,"7.200,00",,,"7.200,00",0,0,0,0
,"7.289,00",,,"7.289,00",0,0,0,0
